,county_name,date,total_doses
602,Calaveras,3/5/2021,442
603,Colusa,3/5/2021,84
604,Contra Costa,3/5/2021,9494
605,Del Norte,3/5/2021,68
606,El Dorado,3/5/2021,1090
607,Fresno,3/5/2021,6650
608,Glenn,3/5/2021,329
609,Humboldt,3/5/2021,857
610,Imperial,3/5/2021,2539
611,Inyo,3/5/2021,149
612,Kern,3/5/2021,5680
613,Kings,3/5/2021,845
614,Lake,3/5/2021,790
615,Lassen,3/5/2021,44
616,Los Angeles,3/5/2021,72948
617,Madera,3/5/2021,1093
618,Marin,3/5/2021,2478
619,Mariposa,3/5/2021,32
620,Mendocino,3/5/2021,165
621,Merced,3/5/2021,1925
622,Modoc,3/5/2021,3
623,Mono,3/5/2021,30
624,Monterey,3/5/2021,2677
625,Morgan,3/5/2021,1
626,Napa,3/5/2021,1583
627,Nevada,3/5/2021,680
628,Orange,3/5/2021,16723
629,Outside California,3/5/2021,5562
630,Placer,3/5/2021,2482
631,Plumas,3/5/2021,370
632,Riverside,3/5/2021,13804
633,Sacramento,3/5/2021,7722
634,San Benito,3/5/2021,404
635,San Bernardino,3/5/2021,11219
636,San Diego,3/5/2021,27800
637,San Francisco,3/5/2021,7569
638,San Joaquin,3/5/2021,3989
639,San Luis Obispo,3/5/2021,2067
640,San Mateo,3/5/2021,7934
641,Santa Barbara,3/5/2021,3684
642,Santa Clara,3/5/2021,12995
643,Santa Cruz,3/5/2021,2223
644,Shasta,3/5/2021,899
645,Sierra,3/5/2021,12
646,Siskiyou,3/5/2021,193
647,Solano,3/5/2021,3421
648,Sonoma,3/5/2021,4946
649,Stanislaus,3/5/2021,3785
650,Sutter,3/5/2021,255
651,Tehama,3/5/2021,340
652,Trinity,3/5/2021,282
653,Tulare,3/5/2021,2890
654,Tuolumne,3/5/2021,74
655,Unknown,3/5/2021,184
656,Ventura,3/5/2021,8848
657,Yolo,3/5/2021,1278
658,Yuba,3/5/2021,260
659,Alameda,3/4/2021,14930
660,Alpine,3/4/2021,11
661,Amador,3/4/2021,466
662,Butte,3/4/2021,2609
663,Calaveras,3/4/2021,529
664,Colusa,3/4/2021,109
665,Contra Costa,3/4/2021,10433
666,Del Norte,3/4/2021,120
667,El Dorado,3/4/2021,2100
668,Fresno,3/4/2021,7384
669,Glenn,3/4/2021,382
670,Hamilton,3/4/2021,1
671,Humboldt,3/4/2021,827
672,Imperial,3/4/2021,683
673,Inyo,3/4/2021,120
674,Kern,3/4/2021,4620
675,Kings,3/4/2021,546
676,La Paz,3/4/2021,2
677,Lake,3/4/2021,505
678,Lassen,3/4/2021,139
679,Los Angeles,3/4/2021,79018
680,Madera,3/4/2021,1080
681,Marin,3/4/2021,2681
682,Mariposa,3/4/2021,16
683,Mendocino,3/4/2021,1071
684,Merced,3/4/2021,2668
685,Modoc,3/4/2021,155
686,Mono,3/4/2021,7
687,Monterey,3/4/2021,4040
688,Napa,3/4/2021,1274
689,Nevada,3/4/2021,975
690,Orange,3/4/2021,18638
691,Outside California,3/4/2021,7248
692,Placer,3/4/2021,3031
693,Plumas,3/4/2021,211
694,Riverside,3/4/2021,14437
695,Sacramento,3/4/2021,9334
696,San Benito,3/4/2021,286
697,San Bernardino,3/4/2021,10634
698,San Diego,3/4/2021,27329
699,San Francisco,3/4/2021,7521
700,San Joaquin,3/4/2021,4594
701,San Luis Obispo,3/4/2021,1940
702,San Mateo,3/4/2021,7170
703,Santa Barbara,3/4/2021,3092
704,Santa Clara,3/4/2021,12911
705,Santa Cruz,3/4/2021,2508
706,Shasta,3/4/2021,992
707,Sierra,3/4/2021,100
708,Siskiyou,3/4/2021,659
709,Solano,3/4/2021,2554
710,Sonoma,3/4/2021,4754
711,Stanislaus,3/4/2021,5193
712,Sutter,3/4/2021,1154
713,Tehama,3/4/2021,511
714,Trinity,3/4/2021,15
715,Tulare,3/4/2021,2608
716,Tuolumne,3/4/2021,1132
717,Unknown,3/4/2021,58
718,Ventura,3/4/2021,7718
719,Walla Walla,3/4/2021,1
720,Yolo,3/4/2021,1588
721,Yuba,3/4/2021,444
722,Alameda,3/3/2021,13687
723,Alpine,3/3/2021,30
724,Amador,3/3/2021,211
725,Bennington,3/3/2021,1
726,Butte,3/3/2021,2318
727,Calaveras,3/3/2021,477
728,Clallam,3/3/2021,1
729,Colusa,3/3/2021,211
730,Contra Costa,3/3/2021,9786
731,Del Norte,3/3/2021,150
732,El Dorado,3/3/2021,1301
733,Fresno,3/3/2021,5209
734,Glenn,3/3/2021,169
735,Humboldt,3/3/2021,1429
736,Imperial,3/3/2021,847
737,Inyo,3/3/2021,82
738,Jackson,3/3/2021,1
739,Kern,3/3/2021,5395
740,Kings,3/3/2021,526
741,Lake,3/3/2021,324
742,Lassen,3/3/2021,156
743,Los Angeles,3/3/2021,75890
744,Madera,3/3/2021,1144
745,Marin,3/3/2021,3872
746,Mariposa,3/3/2021,7
747,Mendocino,3/3/2021,1542
748,Merced,3/3/2021,2010
749,Modoc,3/3/2021,10
750,Mono,3/3/2021,82
751,Monterey,3/3/2021,2686
752,Napa,3/3/2021,1210
753,Nevada,3/3/2021,879
754,Orange,3/3/2021,18170
755,Outside California,3/3/2021,8842
756,Placer,3/3/2021,2793
757,Plumas,3/3/2021,138
758,Riverside,3/3/2021,15625
759,Sacramento,3/3/2021,9027
760,San Benito,3/3/2021,354
761,San Bernardino,3/3/2021,11652
762,San Diego,3/3/2021,32270
763,San Francisco,3/3/2021,9975
764,San Joaquin,3/3/2021,5165
765,San Luis Obispo,3/3/2021,2059
766,San Mateo,3/3/2021,7449
767,Santa Barbara,3/3/2021,4406
768,Santa Clara,3/3/2021,16052
769,Santa Cruz,3/3/2021,2155
770,Shasta,3/3/2021,531
771,Sierra,3/3/2021,2
772,Siskiyou,3/3/2021,328
773,Solano,3/3/2021,1653
774,Sonoma,3/3/2021,4065
775,Stanislaus,3/3/2021,3408
776,Sutter,3/3/2021,1329
777,Tehama,3/3/2021,82
778,Trinity,3/3/2021,5
779,Tulare,3/3/2021,3186
780,Tuolumne,3/3/2021,77
781,Unknown,3/3/2021,23
782,Ventura,3/3/2021,8043
783,Yolo,3/3/2021,1681
784,Yuba,3/3/2021,594
785,Alameda,3/2/2021,12723
786,Alpine,3/2/2021,1
787,Amador,3/2/2021,370
788,Butte,3/2/2021,1362
789,Calaveras,3/2/2021,232
790,Carson City,3/2/2021,1
791,Colusa,3/2/2021,45
792,Contra Costa,3/2/2021,8793
793,Del Norte,3/2/2021,210
794,El Dorado,3/2/2021,804
795,Fresno,3/2/2021,7427
796,Glenn,3/2/2021,31
797,Hawaii,3/2/2021,1
798,Humboldt,3/2/2021,232
799,Imperial,3/2/2021,674
800,Inyo,3/2/2021,176
801,Kern,3/2/2021,3752
802,Kings,3/2/2021,425
803,Lake,3/2/2021,710
804,Lassen,3/2/2021,100
805,Los Angeles,3/2/2021,66355
806,Madera,3/2/2021,591
807,Marin,3/2/2021,2267
808,Mariposa,3/2/2021,6
809,Mendocino,3/2/2021,62
810,Merced,3/2/2021,1544
811,Modoc,3/2/2021,187
812,Mono,3/2/2021,6
813,Monterey,3/2/2021,2547
814,Napa,3/2/2021,1274
815,Nevada,3/2/2021,648
816,Orange,3/2/2021,13403
817,Outside California,3/2/2021,7158
818,Placer,3/2/2021,2703
819,Plumas,3/2/2021,8
820,Riverside,3/2/2021,13465
821,Sacramento,3/2/2021,8053
822,San Benito,3/2/2021,237
823,San Bernardino,3/2/2021,12717
824,San Diego,3/2/2021,24959
825,San Francisco,3/2/2021,8225
826,San Joaquin,3/2/2021,3807
827,San Luis Obispo,3/2/2021,2721
