,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
278,Plumas,4/3/2020,0,0,0,0,0,0
279,Kings,4/3/2020,0,3,0,0,3,3
280,Tuolumne,4/3/2020,0,0,0,0,1,0
281,Mendocino,4/3/2020,0,5,0,1,6,5
282,Santa Clara,4/3/2020,164,83,0,17,97,247
283,Contra Costa,4/3/2020,31,39,0,10,75,70
284,Madera,4/3/2020,0,5,0,1,7,5
285,Humboldt,4/3/2020,1,7,0,0,10,8
286,San Mateo,4/3/2020,65,39,0,4,38,104
287,Stanislaus,4/3/2020,28,45,0,8,22,73
288,Orange,4/3/2020,131,182,0,36,151,313
289,Ventura,4/3/2020,22,116,0,28,56,138
290,Fresno,4/3/2020,15,81,0,16,35,96
291,Mariposa,4/3/2020,0,2,0,0,0,2
292,Napa,4/3/2020,1,9,0,1,9,10
293,San Bernardino,4/3/2020,118,204,0,53,57,322
294,Yuba,4/3/2020,2,12,0,2,5,14
295,Tehama,4/3/2020,0,0,0,0,8,0
296,Los Angeles,4/3/2020,962,1239,0,209,473,2201
297,Butte,4/3/2020,3,19,0,6,9,22
298,Inyo,4/3/2020,8,102,0,2,1,110
299,Kern,4/3/2020,35,73,0,16,47,108
300,Glenn,4/3/2020,0,0,0,0,0,0
301,Solano,4/3/2020,16,21,0,5,23,37
302,Sacramento,4/3/2020,77,76,0,17,76,153
303,Santa Cruz,4/3/2020,4,8,0,0,2,12
304,Alameda,4/3/2020,64,74,0,13,117,138
305,Placer,4/3/2020,21,23,0,1,7,44
306,Lassen,4/3/2020,0,3,0,0,0,3
307,Imperial,4/3/2020,9,7,0,0,5,16
308,Del Norte,4/3/2020,0,2,0,0,2,2
309,Merced,4/3/2020,4,5,0,1,4,9
310,Trinity,4/3/2020,0,0,0,0,0,0
311,Riverside,4/3/2020,105,182,0,59,127,287
312,Colusa,4/3/2020,1,0,0,0,5,1
313,San Joaquin,4/3/2020,41,38,0,8,22,79
314,San Francisco,4/3/2020,80,71,0,8,74,151
315,Sonoma,4/3/2020,6,24,0,3,15,30
316,El Dorado,4/3/2020,15,9,0,4,14,24
317,Monterey,4/3/2020,16,18,0,1,17,34
318,Modoc,4/3/2020,0,0,0,0,0,0
319,Amador,4/3/2020,0,0,0,0,1,0
320,Santa Barbara,4/3/2020,27,29,0,4,50,56
321,Shasta,4/3/2020,2,9,0,3,14,11
322,Calaveras,4/3/2020,0,1,0,0,5,1
323,San Luis Obispo,4/3/2020,4,5,0,2,967,9
324,Yolo,4/3/2020,2,7,0,6,4,9
325,Lake,4/3/2020,0,2,0,1,2,2
326,Sutter,4/3/2020,0,0,0,0,0,0
327,San Diego,4/3/2020,171,308,0,28,216,479
328,Siskiyou,4/3/2020,0,3,0,1,4,3
329,Nevada,4/3/2020,2,4,0,1,5,6
330,Mono,4/3/2020,18,2,0,0,2,20
331,Marin,4/3/2020,6,16,0,5,17,22
332,San Benito,4/3/2020,2,0,0,0,0,2
333,Mariposa,4/4/2020,0,2,0,0,0,2
334,San Luis Obispo,4/4/2020,4,6,0,3,954,10
335,Napa,4/4/2020,1,8,0,1,6,9
336,Yuba,4/4/2020,2,16,0,2,7,18
337,Yolo,4/4/2020,4,5,0,3,4,9
338,Tehama,4/4/2020,0,1,0,0,8,1
339,Riverside,4/4/2020,126,186,0,56,125,312
340,Madera,4/4/2020,0,4,0,0,8,4
341,Calaveras,4/4/2020,0,1,0,0,5,1
342,Sutter,4/4/2020,0,0,0,0,0,0
343,Alameda,4/4/2020,60,95,0,18,120,155
344,San Benito,4/4/2020,2,3,0,0,0,5
345,Nevada,4/4/2020,2,6,0,2,5,8
346,Siskiyou,4/4/2020,0,2,0,1,5,2
347,Monterey,4/4/2020,16,25,0,2,18,41
348,Santa Clara,4/4/2020,159,79,0,19,91,238
349,Marin,4/4/2020,5,16,0,5,12,21
350,Amador,4/4/2020,0,0,0,0,2,0
351,Contra Costa,4/4/2020,30,47,0,7,87,77
352,Ventura,4/4/2020,21,127,0,25,10,148
353,Sonoma,4/4/2020,7,16,0,6,15,23
354,Mono,4/4/2020,20,2,0,0,2,22
355,Solano,4/4/2020,16,19,0,2,23,35
356,Mendocino,4/4/2020,0,3,0,1,7,3
357,Tuolumne,4/4/2020,0,1,0,1,2,1
358,Modoc,4/4/2020,0,0,0,0,0,0
359,San Joaquin,4/4/2020,43,30,0,7,24,73
360,Santa Cruz,4/4/2020,4,6,0,0,7,10
361,Lassen,4/4/2020,0,0,0,0,0,0
362,Butte,4/4/2020,3,14,0,4,7,17
363,Del Norte,4/4/2020,0,2,0,0,1,2
364,Sacramento,4/4/2020,69,76,0,18,82,145
365,San Mateo,4/4/2020,66,19,0,6,40,85
366,Santa Barbara,4/4/2020,28,34,0,2,53,62
367,Plumas,4/4/2020,0,0,0,0,0,0
368,Kings,4/4/2020,1,9,0,0,0,10
369,Trinity,4/4/2020,0,0,0,0,0,0
370,Stanislaus,4/4/2020,30,45,0,9,26,75
371,Colusa,4/4/2020,1,0,0,0,5,1
372,Imperial,4/4/2020,9,10,0,2,5,19
373,Inyo,4/4/2020,8,106,0,1,2,114
374,Merced,4/4/2020,5,14,0,1,6,19
375,San Diego,4/4/2020,177,218,0,19,222,395
376,El Dorado,4/4/2020,15,9,0,3,12,24
377,Tulare,4/4/2020,8,20,0,1,6,28
378,San Bernardino,4/4/2020,138,254,0,66,67,392
379,Orange,4/4/2020,143,213,0,45,153,356
380,Glenn,4/4/2020,0,0,0,0,0,0
381,Lake,4/4/2020,0,4,0,1,4,4
382,Placer,4/4/2020,23,14,0,1,12,37
383,Humboldt,4/4/2020,1,4,0,0,7,5
384,Fresno,4/4/2020,14,93,0,20,36,107
385,Shasta,4/4/2020,2,10,0,0,13,12
386,Kern,4/4/2020,33,54,0,11,29,87
387,San Francisco,4/4/2020,80,65,0,7,79,145
388,Los Angeles,4/4/2020,1007,1190,0,181,537,2197
389,Mono,4/5/2020,20,2,0,0,2,22
390,Tuolumne,4/5/2020,0,0,0,0,4,0
391,Sonoma,4/5/2020,6,21,0,6,16,27
392,San Mateo,4/5/2020,69,15,0,6,36,84
393,Solano,4/5/2020,15,17,0,24,3,32
394,Lassen,4/5/2020,0,0,0,0,0,0
395,Tulare,4/5/2020,4,20,0,2,3,24
396,Mendocino,4/5/2020,0,3,0,2,4,3
397,Riverside,4/5/2020,129,207,0,60,130,336
398,Alameda,4/5/2020,72,87,0,13,113,159
399,San Francisco,4/5/2020,79,68,0,11,74,147
400,Calaveras,4/5/2020,0,0,0,0,6,0
401,Kings,4/5/2020,3,1,0,0,0,4
402,Mariposa,4/5/2020,0,2,0,0,0,2
403,Nevada,4/5/2020,2,4,0,1,3,6
404,San Luis Obispo,4/5/2020,2,11,0,9,28,13
405,Inyo,4/5/2020,9,106,0,0,3,115
406,Yolo,4/5/2020,3,6,0,3,4,9
407,San Diego,4/5/2020,179,220,0,31,247,399
408,Contra Costa,4/5/2020,29,35,0,10,74,64
409,Glenn,4/5/2020,0,0,0,0,0,0
410,Orange,4/5/2020,144,221,0,46,156,365
411,Los Angeles,4/5/2020,1094,1082,0,166,554,2176
412,Marin,4/5/2020,5,15,0,5,13,20
413,Madera,4/5/2020,0,1,0,0,8,1
414,Butte,4/5/2020,2,16,0,6,10,18
415,Santa Cruz,4/5/2020,5,12,0,4,10,17
416,El Dorado,4/5/2020,16,6,0,3,7,22
417,Sutter,4/5/2020,0,0,0,0,0,0
418,Napa,4/5/2020,1,8,0,1,11,9
419,Imperial,4/5/2020,9,9,0,1,3,18
420,Plumas,4/5/2020,0,0,0,0,0,0
421,Siskiyou,4/5/2020,0,2,0,2,3,2
422,Modoc,4/5/2020,0,0,0,0,0,0
423,Monterey,4/5/2020,16,15,0,0,23,31
424,Del Norte,4/5/2020,0,1,0,0,1,1
425,San Bernardino,4/5/2020,146,240,0,54,70,386
426,Fresno,4/5/2020,16,81,0,15,39,97
427,Shasta,4/5/2020,8,11,0,0,13,19
428,Trinity,4/5/2020,0,0,0,0,0,0
429,Merced,4/5/2020,15,10,0,3,8,25
430,Lake,4/5/2020,0,4,0,2,3,4
431,San Joaquin,4/5/2020,46,24,0,4,19,70
432,Stanislaus,4/5/2020,30,25,0,5,30,55
433,Placer,4/5/2020,23,13,0,1,10,36
434,Amador,4/5/2020,0,0,0,0,2,0
435,Ventura,4/5/2020,21,128,0,28,12,149
436,Kern,4/5/2020,23,27,0,4,40,50
437,Tehama,4/5/2020,0,1,0,0,5,1
438,Sacramento,4/5/2020,64,78,0,26,82,142
439,Santa Clara,4/5/2020,166,69,0,18,90,235
440,Humboldt,4/5/2020,2,3,0,0,8,5
441,San Benito,4/5/2020,3,0,0,0,0,3
442,Santa Barbara,4/5/2020,31,26,0,2,59,57
443,Colusa,4/5/2020,1,0,0,0,5,1
444,Yuba,4/5/2020,1,14,0,1,10,15
445,Inyo,4/6/2020,9,114,0,0,3,123
446,San Joaquin,4/6/2020,31,32,0,3,20,63
447,Alameda,4/6/2020,79,70,0,19,92,149
448,Yuba,4/6/2020,1,19,0,3,7,20
449,Yolo,4/6/2020,4,0,0,4,-3,4
