county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
San Luis Obispo,3/11/2021,0,248,0,247
San Mateo,3/11/2021,0,344,3,341
Santa Barbara,3/11/2021,0,433,1,430
Santa Clara,3/11/2021,0,1797,6,1765
Santa Cruz,3/11/2021,0,199,1,193
Shasta,3/11/2021,0,100,3,158
Sierra,3/11/2021,0,0,0,0
Siskiyou,3/11/2021,0,5,0,5
Solano,3/11/2021,0,171,1,171
Sonoma,3/11/2021,0,291,-1,285
Stanislaus,3/11/2021,0,683,1,707
Sutter,3/11/2021,0,102,0,101
Tehama,3/11/2021,0,34,0,33
Trinity,3/11/2021,0,3,0,3
Tulare,3/11/2021,0,803,4,797
Tuolumne,3/11/2021,0,57,0,57
Ventura,3/11/2021,0,916,11,889
Yolo,3/11/2021,0,190,1,190
Yuba,3/11/2021,0,42,0,42
Alameda,3/10/2021,0,1177,9,1160
Alpine,3/10/2021,0,0,0,0
Amador,3/10/2021,0,44,0,42
Butte,3/10/2021,0,184,0,185
Calaveras,3/10/2021,0,49,0,48
California,3/10/2021,2,55572,270,54590
Colusa,3/10/2021,0,12,1,12
Contra Costa,3/10/2021,1,736,2,725
Del Norte,3/10/2021,0,6,0,5
El Dorado,3/10/2021,0,105,2,100
Fresno,3/10/2021,0,1498,8,1471
Glenn,3/10/2021,0,17,0,15
Humboldt,3/10/2021,0,33,0,32
Imperial,3/10/2021,0,689,0,675
Inyo,3/10/2021,0,35,0,35
Kern,3/10/2021,0,1144,14,1102
Kings,3/10/2021,0,233,0,226
Lake,3/10/2021,0,43,0,42
Lassen,3/10/2021,0,1,0,1
Los Angeles,3/10/2021,1,22524,119,22199
Madera,3/10/2021,0,214,1,212
Marin,3/10/2021,0,218,2,216
Mariposa,3/10/2021,0,5,0,5
Mendocino,3/10/2021,0,44,0,42
Merced,3/10/2021,0,407,2,401
Modoc,3/10/2021,0,3,0,3
Mono,3/10/2021,0,3,0,3
Monterey,3/10/2021,0,333,0,329
Napa,3/10/2021,0,75,0,75
Nevada,3/10/2021,0,67,0,66
Orange,3/10/2021,0,4479,32,4342
Placer,3/10/2021,0,240,0,239
Plumas,3/10/2021,0,4,0,4
Riverside,3/10/2021,0,3893,1,3822
Sacramento,3/10/2021,0,1466,10,1452
San Benito,3/10/2021,0,61,0,61
San Bernardino,3/10/2021,0,4031,18,3841
San Diego,3/10/2021,0,3462,8,3413
San Francisco,3/10/2021,0,456,0,450
San Joaquin,3/10/2021,0,1163,6,1156
San Luis Obispo,3/10/2021,0,248,2,247
San Mateo,3/10/2021,0,344,2,338
Santa Barbara,3/10/2021,0,433,1,429
Santa Clara,3/10/2021,0,1797,3,1759
Santa Cruz,3/10/2021,0,199,4,192
Shasta,3/10/2021,0,100,0,155
Sierra,3/10/2021,0,0,0,0
Siskiyou,3/10/2021,0,5,0,5
Solano,3/10/2021,0,171,1,170
Sonoma,3/10/2021,0,291,2,286
Stanislaus,3/10/2021,0,683,3,706
Sutter,3/10/2021,0,102,0,101
Tehama,3/10/2021,0,34,0,33
Trinity,3/10/2021,0,3,0,3
Tulare,3/10/2021,0,803,1,793
Tuolumne,3/10/2021,0,57,1,57
Ventura,3/10/2021,0,916,15,878
Yolo,3/10/2021,0,190,0,189
Yuba,3/10/2021,0,42,0,42
Alameda,3/9/2021,0,1177,9,1151
Alpine,3/9/2021,0,0,0,0
Amador,3/9/2021,0,44,0,42
Butte,3/9/2021,0,184,0,185
Calaveras,3/9/2021,0,49,0,48
California,3/9/2021,3,55570,442,54320
Colusa,3/9/2021,0,12,0,11
Contra Costa,3/9/2021,0,735,4,723
Del Norte,3/9/2021,0,6,0,5
El Dorado,3/9/2021,0,105,1,98
Fresno,3/9/2021,0,1498,21,1463
Glenn,3/9/2021,0,17,0,15
Humboldt,3/9/2021,0,33,1,32
Imperial,3/9/2021,0,689,12,675
Inyo,3/9/2021,0,35,0,35
Kern,3/9/2021,0,1144,1,1088
Kings,3/9/2021,0,233,0,226
Lake,3/9/2021,0,43,0,42
Lassen,3/9/2021,0,1,0,1
Los Angeles,3/9/2021,1,22523,212,22080
Madera,3/9/2021,0,214,0,211
Marin,3/9/2021,0,218,0,214
Mariposa,3/9/2021,0,5,0,5
Mendocino,3/9/2021,0,44,0,42
Merced,3/9/2021,0,407,1,399
Modoc,3/9/2021,0,3,0,3
Mono,3/9/2021,0,3,0,3
Monterey,3/9/2021,0,333,1,329
Napa,3/9/2021,0,75,0,75
Nevada,3/9/2021,0,67,0,66
Orange,3/9/2021,0,4479,67,4310
Placer,3/9/2021,0,240,0,239
Plumas,3/9/2021,0,4,0,4
Riverside,3/9/2021,0,3893,38,3821
Sacramento,3/9/2021,0,1466,4,1442
San Benito,3/9/2021,0,61,0,61
San Bernardino,3/9/2021,0,4031,12,3823
San Diego,3/9/2021,0,3462,15,3405
San Francisco,3/9/2021,0,456,4,450
San Joaquin,3/9/2021,0,1163,11,1150
San Luis Obispo,3/9/2021,0,248,0,245
San Mateo,3/9/2021,0,344,1,336
Santa Barbara,3/9/2021,0,433,1,428
Santa Clara,3/9/2021,2,1797,0,1756
Santa Cruz,3/9/2021,0,199,0,188
