,county,date,icu_covid_confirmed,icu_covid_suspected
506,Ventura,2020-04-07,9,20
507,Calaveras,2020-04-07,0,0
508,Madera,2020-04-07,0,1
509,Inyo,2020-04-07,1,0
510,Trinity,2020-04-07,0,0
511,Colusa,2020-04-07,0,0
512,Plumas,2020-04-07,0,0
513,Sutter,2020-04-07,0,0
514,Merced,2020-04-07,0,3
515,Napa,2020-04-07,0,3
516,Kern,2020-04-07,14,13
517,Tulare,2020-04-07,5,6
518,Riverside,2020-04-07,57,57
519,Glenn,2020-04-07,0,0
520,San Mateo,2020-04-07,26,2
521,Sonoma,2020-04-07,2,6
522,Marin,2020-04-07,4,4
523,Nevada,2020-04-07,1,2
524,Santa Barbara,2020-04-07,23,1
525,El Dorado,2020-04-07,0,3
526,San Diego,2020-04-07,87,29
527,Orange,2020-04-07,71,29
528,Mariposa,2020-04-07,0,0
529,Tuolumne,2020-04-07,0,0
530,Tehama,2020-04-07,0,0
531,Placer,2020-04-07,9,3
532,Alameda,2020-04-07,43,25
533,Shasta,2020-04-07,2,3
534,Monterey,2020-04-07,5,4
535,Lassen,2020-04-07,0,0
536,Mendocino,2020-04-07,0,0
537,Lake,2020-04-07,0,0
538,Fresno,2020-04-07,11,13
539,San Bernardino,2020-04-07,54,49
540,Del Norte,2020-04-07,0,1
541,Yolo,2020-04-07,2,1
542,San Benito,2020-04-07,2,0
543,Siskiyou,2020-04-07,0,1
544,Santa Cruz,2020-04-07,4,3
545,Butte,2020-04-07,1,5
546,Humboldt,2020-04-07,0,0
547,San Francisco,2020-04-07,36,9
548,Kings,2020-04-07,2,0
549,Contra Costa,2020-04-07,17,9
550,Modoc,2020-04-07,0,0
551,San Joaquin,2020-04-07,14,4
552,Solano,2020-04-07,7,6
553,Amador,2020-04-07,0,0
554,Los Angeles,2020-04-07,517,162
555,Yuba,2020-04-07,1,5
556,Stanislaus,2020-04-07,13,9
557,San Benito,2020-04-08,1,0
558,San Diego,2020-04-08,92,24
559,Santa Cruz,2020-04-08,3,4
560,Calaveras,2020-04-08,0,0
561,Merced,2020-04-08,0,2
562,Los Angeles,2020-04-08,532,211
563,Santa Clara,2020-04-08,70,6
564,Imperial,2020-04-08,8,3
565,Yolo,2020-04-08,1,2
566,Sutter,2020-04-08,0,0
567,Sonoma,2020-04-08,2,5
568,Marin,2020-04-08,4,2
569,San Joaquin,2020-04-08,11,8
570,Colusa,2020-04-08,0,0
571,Mariposa,2020-04-08,0,0
572,Sacramento,2020-04-08,28,12
573,Modoc,2020-04-08,0,0
574,Nevada,2020-04-08,2,2
575,Madera,2020-04-08,0,1
576,Monterey,2020-04-08,5,0
577,Stanislaus,2020-04-08,11,5
578,Contra Costa,2020-04-08,18,13
579,Tehama,2020-04-08,0,0
580,Santa Barbara,2020-04-08,19,1
581,San Mateo,2020-04-08,25,2
582,San Luis Obispo,2020-04-08,2,11
583,Tuolumne,2020-04-08,0,0
584,Kings,2020-04-08,1,1
585,Fresno,2020-04-08,10,8
586,Ventura,2020-04-08,9,14
587,Alameda,2020-04-08,45,18
588,Placer,2020-04-08,10,2
589,Shasta,2020-04-08,2,2
590,Inyo,2020-04-08,1,1
591,Trinity,2020-04-08,0,0
592,Yuba,2020-04-08,1,3
593,Amador,2020-04-08,0,0
594,Napa,2020-04-08,0,1
595,Orange,2020-04-08,49,34
596,Lassen,2020-04-08,0,0
597,San Bernardino,2020-04-08,51,53
598,Butte,2020-04-08,1,7
599,El Dorado,2020-04-08,0,1
600,Riverside,2020-04-08,56,41
601,Lake,2020-04-08,0,1
602,Humboldt,2020-04-08,0,0
603,Kern,2020-04-08,16,3
604,Mono,2020-04-08,0,0
605,Del Norte,2020-04-08,0,1
606,Plumas,2020-04-08,0,0
607,Mendocino,2020-04-08,0,0
608,Solano,2020-04-08,8,2
609,Tulare,2020-04-08,2,5
610,San Francisco,2020-04-08,36,17
611,Siskiyou,2020-04-08,0,1
612,Glenn,2020-04-08,0,0
613,Monterey,2020-04-09,5,0
614,Nevada,2020-04-09,2,1
615,Humboldt,2020-04-09,0,2
616,Solano,2020-04-09,8,0
617,Los Angeles,2020-04-09,541,156
618,Trinity,2020-04-09,0,0
619,Mariposa,2020-04-09,0,0
620,Colusa,2020-04-09,0,1
621,Kern,2020-04-09,16,9
622,Yolo,2020-04-09,1,2
623,Contra Costa,2020-04-09,18,12
624,Tuolumne,2020-04-09,0,0
625,Sonoma,2020-04-09,2,4
626,Sutter,2020-04-09,0,0
627,San Luis Obispo,2020-04-09,2,8
628,Napa,2020-04-09,0,0
629,Plumas,2020-04-09,0,0
630,Butte,2020-04-09,1,4
631,Mono,2020-04-09,0,0
632,Shasta,2020-04-09,2,1
633,Mendocino,2020-04-09,0,0
634,Fresno,2020-04-09,10,9
635,San Mateo,2020-04-09,18,2
636,Orange,2020-04-09,45,29
637,San Diego,2020-04-09,98,18
638,Santa Cruz,2020-04-09,2,5
639,Riverside,2020-04-09,59,34
640,San Joaquin,2020-04-09,12,7
641,Madera,2020-04-09,0,2
642,San Benito,2020-04-09,1,0
643,Modoc,2020-04-09,0,0
644,Glenn,2020-04-09,0,0
645,Stanislaus,2020-04-09,11,7
646,Imperial,2020-04-09,7,3
647,Merced,2020-04-09,0,2
648,Ventura,2020-04-09,8,13
649,Santa Clara,2020-04-09,70,17
650,San Bernardino,2020-04-09,56,41
651,Yuba,2020-04-09,2,4
652,Del Norte,2020-04-09,0,0
653,Marin,2020-04-09,2,1
654,Lake,2020-04-09,0,1
655,Tulare,2020-04-09,5,4
656,Kings,2020-04-09,3,0
657,Sacramento,2020-04-09,31,11
658,Lassen,2020-04-09,0,0
659,El Dorado,2020-04-09,0,1
660,Placer,2020-04-09,9,1
661,Amador,2020-04-09,0,0
662,Tehama,2020-04-09,0,1
663,Santa Barbara,2020-04-09,20,2
664,San Francisco,2020-04-09,33,13
665,Inyo,2020-04-09,1,0
666,Alameda,2020-04-09,44,18
667,Calaveras,2020-04-09,0,0
668,Siskiyou,2020-04-09,0,0
669,Solano,2020-04-10,9,3
670,Sutter,2020-04-10,0,0
671,Modoc,2020-04-10,0,0
672,Plumas,2020-04-10,0,0
673,Colusa,2020-04-10,0,0
674,Imperial,2020-04-10,8,3
675,San Joaquin,2020-04-10,14,5
676,Los Angeles,2020-04-10,514,142
677,Del Norte,2020-04-10,0,0
678,Sonoma,2020-04-10,1,6
679,San Luis Obispo,2020-04-10,2,3
680,Mendocino,2020-04-10,0,1
681,Lake,2020-04-10,0,0
682,Orange,2020-04-10,69,25
683,Humboldt,2020-04-10,0,3
684,Santa Cruz,2020-04-10,3,5
685,Santa Clara,2020-04-10,67,5
686,Yolo,2020-04-10,1,1
687,Fresno,2020-04-10,11,9
688,Contra Costa,2020-04-10,17,6
689,Monterey,2020-04-10,5,1
690,Trinity,2020-04-10,0,0
691,Calaveras,2020-04-10,0,0
692,El Dorado,2020-04-10,0,1
693,Marin,2020-04-10,1,1
694,Nevada,2020-04-10,2,1
695,San Mateo,2020-04-10,18,3
696,Kern,2020-04-10,15,5
697,Yuba,2020-04-10,1,0
698,Napa,2020-04-10,0,4
699,Tulare,2020-04-10,6,1
700,Alameda,2020-04-10,45,26
701,Mono,2020-04-10,0,0
702,Riverside,2020-04-10,57,34
703,Siskiyou,2020-04-10,0,0
704,Kings,2020-04-10,3,0
705,Tehama,2020-04-10,0,0
706,San Benito,2020-04-10,1,0
707,Inyo,2020-04-10,1,0
708,San Bernardino,2020-04-10,66,58
709,Ventura,2020-04-10,8,13
710,Merced,2020-04-10,0,1
711,Shasta,2020-04-10,2,1
712,Amador,2020-04-10,0,0
713,Tuolumne,2020-04-10,0,1
714,Lassen,2020-04-10,0,0
715,Butte,2020-04-10,1,5
716,Stanislaus,2020-04-10,11,3
717,Glenn,2020-04-10,0,0
718,Madera,2020-04-10,0,1
719,Placer,2020-04-10,9,3
720,San Francisco,2020-04-10,32,12
721,Mariposa,2020-04-10,0,0
722,Sacramento,2020-04-10,30,13
723,Santa Barbara,2020-04-10,19,1
724,San Diego,2020-04-10,96,14
725,Merced,2020-04-11,0,1
726,Mono,2020-04-11,0,0
727,Modoc,2020-04-11,0,0
728,Placer,2020-04-11,7,4
729,Tehama,2020-04-11,0,0
730,Mariposa,2020-04-11,0,0
731,Sonoma,2020-04-11,1,4
732,Siskiyou,2020-04-11,0,0
733,Amador,2020-04-11,0,0
734,Shasta,2020-04-11,2,0
735,Alameda,2020-04-11,46,19
736,San Bernardino,2020-04-11,57,42
737,Calaveras,2020-04-11,0,1
738,Plumas,2020-04-11,0,0
739,Sacramento,2020-04-11,29,10
740,Glenn,2020-04-11,0,0
741,Nevada,2020-04-11,2,1
742,Colusa,2020-04-11,0,0
743,Stanislaus,2020-04-11,8,4
744,Kings,2020-04-11,4,0
745,Tulare,2020-04-11,4,2
746,Santa Clara,2020-04-11,66,8
747,San Mateo,2020-04-11,18,2
748,Imperial,2020-04-11,7,3
749,Del Norte,2020-04-11,0,1
750,Yolo,2020-04-11,1,0
751,Trinity,2020-04-11,0,0
752,Butte,2020-04-11,1,1
753,Marin,2020-04-11,1,3
754,Napa,2020-04-11,0,0
