,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
3181,Tehama County,2020-10-01,2020,October,26140,24230,1910,0.073
3182,Trinity County,2020-10-01,2020,October,4590,4310,290,0.062
3183,Tulare County,2020-10-01,2020,October,195100,173300,21700,0.111
3184,Tuolumne County,2020-10-01,2020,October,19960,18220,1730,0.087
3185,Ventura County,2020-10-01,2020,October,407700,376500,31200,0.076
3186,Yolo County,2020-10-01,2020,October,106000,99100,6900,0.065
3187,Yuba County,2020-10-01,2020,October,30100,27300,2800,0.09300000000000001
4182,Alameda County,2020-09-01,2020,September,799200,721800,77400,0.09699999999999999
4183,Alpine County,2020-09-01,2020,September,460,410,50,0.11
4184,Amador County,2020-09-01,2020,September,14280,13010,1270,0.08900000000000001
4185,Butte County,2020-09-01,2020,September,90500,82300,8200,0.09
4186,Calaveras County,2020-09-01,2020,September,21160,19610,1550,0.073
4187,Colusa County,2020-09-01,2020,September,10320,9290,1030,0.1
4188,Contra Costa County,2020-09-01,2020,September,531200,480000,51300,0.096
4189,Del Norte County,2020-09-01,2020,September,9320,8500,830,0.08900000000000001
4190,El Dorado County,2020-09-01,2020,September,89000,82200,6800,0.077
4191,Fresno County,2020-09-01,2020,September,438800,392500,46300,0.105
4192,Glenn County,2020-09-01,2020,September,12370,11440,930,0.076
4193,Humboldt County,2020-09-01,2020,September,58700,53900,4700,0.081
4194,Imperial County,2020-09-01,2020,September,67300,52400,14900,0.222
4195,Inyo County,2020-09-01,2020,September,8160,7550,620,0.075
4196,Kern County,2020-09-01,2020,September,382800,337300,45500,0.11900000000000001
4197,Kings County,2020-09-01,2020,September,54800,49100,5700,0.10400000000000001
4198,Lake County,2020-09-01,2020,September,28410,25890,2520,0.08900000000000001
4199,Lassen County,2020-09-01,2020,September,9370,8780,590,0.063
4200,Los Angeles County,2020-09-01,2020,September,4804900,4173100,631900,0.132
4202,Madera County,2020-09-01,2020,September,60800,54900,5900,0.096
4203,Marin County,2020-09-01,2020,September,127500,118500,9000,0.07
4204,Mariposa County,2020-09-01,2020,September,7070,6400,670,0.095
4205,Mendocino County,2020-09-01,2020,September,36800,33620,3180,0.086
4206,Merced County,2020-09-01,2020,September,114300,102200,12100,0.106
4207,Modoc County,2020-09-01,2020,September,3210,3010,200,0.061
4208,Mono County,2020-09-01,2020,September,7730,6960,770,0.1
4209,Monterey County,2020-09-01,2020,September,213300,196000,17300,0.081
4210,Napa County,2020-09-01,2020,September,67900,62300,5600,0.083
4211,Nevada County,2020-09-01,2020,September,45830,42290,3540,0.077
4212,Orange County,2020-09-01,2020,September,1521600,1375500,146100,0.096
4213,Placer County,2020-09-01,2020,September,182100,168900,13200,0.07200000000000001
4214,Plumas County,2020-09-01,2020,September,7710,7110,600,0.078
4215,Riverside County,2020-09-01,2020,September,1096200,979500,116600,0.106
4216,Sacramento County,2020-09-01,2020,September,702800,632400,70400,0.1
4217,San Benito County,2020-09-01,2020,September,30500,27800,2700,0.08900000000000001
4218,San Bernardino County,2020-09-01,2020,September,959900,859400,100500,0.105
4219,San Diego County,2020-09-01,2020,September,1512100,1366900,145200,0.096
4220,San Francisco County,2020-09-01,2020,September,541700,493200,48500,0.09
4221,San Joaquin County,2020-09-01,2020,September,331000,293600,37400,0.113
4222,San Luis Obispo County,2020-09-01,2020,September,130700,120800,9800,0.075
4223,San Mateo County,2020-09-01,2020,September,421200,389100,32100,0.076
4224,Santa Barbara County,2020-09-01,2020,September,215700,199500,16100,0.075
4225,Santa Clara County,2020-09-01,2020,September,1000200,926100,74100,0.07400000000000001
4226,Santa Cruz County,2020-09-01,2020,September,131100,120300,10900,0.083
4227,Shasta County,2020-09-01,2020,September,72800,67000,5800,0.08
4228,Sierra County,2020-09-01,2020,September,1310,1220,90,0.065
4229,Siskiyou County,2020-09-01,2020,September,16960,15600,1360,0.08
4230,Solano County,2020-09-01,2020,September,199300,179100,20200,0.10099999999999999
4231,Sonoma County,2020-09-01,2020,September,241900,223000,18900,0.078
4232,Stanislaus County,2020-09-01,2020,September,239800,215100,24700,0.10300000000000001
4233,Sutter County,2020-09-01,2020,September,44900,40700,4200,0.094
4234,Tehama County,2020-09-01,2020,September,25560,23490,2070,0.081
4235,Trinity County,2020-09-01,2020,September,4640,4340,300,0.065
4236,Tulare County,2020-09-01,2020,September,194100,170700,23400,0.121
4237,Tuolumne County,2020-09-01,2020,September,19850,17940,1910,0.096
4238,Ventura County,2020-09-01,2020,September,399900,364700,35100,0.08800000000000001
4239,Yolo County,2020-09-01,2020,September,103500,96000,7500,0.073
4240,Yuba County,2020-09-01,2020,September,29800,26700,3000,0.10099999999999999
5235,Alameda County,2020-08-01,2020,August,803800,718900,84900,0.106
5236,Alpine County,2020-08-01,2020,August,460,400,50,0.11599999999999999
5237,Amador County,2020-08-01,2020,August,14380,12960,1410,0.098
5238,Butte County,2020-08-01,2020,August,91300,82400,8900,0.098
5239,Calaveras County,2020-08-01,2020,August,21340,19670,1670,0.078
5240,Colusa County,2020-08-01,2020,August,10460,9340,1120,0.107
5241,Contra Costa County,2020-08-01,2020,August,534100,477900,56200,0.105
5242,Del Norte County,2020-08-01,2020,August,9420,8490,930,0.098
5243,El Dorado County,2020-08-01,2020,August,89000,81500,7500,0.085
5244,Fresno County,2020-08-01,2020,August,439500,389000,50500,0.115
5245,Glenn County,2020-08-01,2020,August,12280,11220,1060,0.086
5246,Humboldt County,2020-08-01,2020,August,58000,52500,5400,0.094
5247,Imperial County,2020-08-01,2020,August,68200,51300,16900,0.248
5248,Inyo County,2020-08-01,2020,August,8220,7570,660,0.08
5249,Kern County,2020-08-01,2020,August,385600,335500,50200,0.13
5250,Kings County,2020-08-01,2020,August,55500,49400,6100,0.11
5251,Lake County,2020-08-01,2020,August,28320,25630,2690,0.095
5252,Lassen County,2020-08-01,2020,August,9330,8690,640,0.068
5254,Los Angeles County,2020-08-01,2020,August,4938500,4076400,862100,0.175
5255,Madera County,2020-08-01,2020,August,61700,55300,6500,0.105
5256,Marin County,2020-08-01,2020,August,128100,118100,10000,0.078
5257,Mariposa County,2020-08-01,2020,August,7230,6510,720,0.1
5258,Mendocino County,2020-08-01,2020,August,36870,33370,3500,0.095
5259,Merced County,2020-08-01,2020,August,112500,99200,13300,0.11900000000000001
5260,Modoc County,2020-08-01,2020,August,3190,2980,210,0.067
5261,Mono County,2020-08-01,2020,August,7920,7040,870,0.11
5262,Monterey County,2020-08-01,2020,August,217000,197900,19100,0.08800000000000001
5263,Napa County,2020-08-01,2020,August,68400,62000,6400,0.09300000000000001
5264,Nevada County,2020-08-01,2020,August,46230,42260,3970,0.086
5265,Orange County,2020-08-01,2020,August,1526200,1362200,164000,0.107
5266,Placer County,2020-08-01,2020,August,182500,167600,14900,0.08199999999999999
5267,Plumas County,2020-08-01,2020,August,7950,7270,680,0.085
5268,Riverside County,2020-08-01,2020,August,1098700,970800,127900,0.11599999999999999
5269,Sacramento County,2020-08-01,2020,August,704300,627600,76700,0.109
5270,San Benito County,2020-08-01,2020,August,30900,27900,3000,0.096
5271,San Bernardino County,2020-08-01,2020,August,960700,851900,108800,0.113
5272,San Diego County,2020-08-01,2020,August,1518700,1353900,164700,0.10800000000000001
5273,San Francisco County,2020-08-01,2020,August,546600,493700,52900,0.09699999999999999
5274,San Joaquin County,2020-08-01,2020,August,331300,290900,40400,0.122
5275,San Luis Obispo County,2020-08-01,2020,August,129400,118300,11100,0.086
5276,San Mateo County,2020-08-01,2020,August,424600,389400,35200,0.083
5277,Santa Barbara County,2020-08-01,2020,August,216300,198400,17900,0.083
5278,Santa Clara County,2020-08-01,2020,August,1009000,927000,82000,0.081
5279,Santa Cruz County,2020-08-01,2020,August,132200,120000,12100,0.092
5280,Shasta County,2020-08-01,2020,August,72500,66200,6300,0.087
5281,Sierra County,2020-08-01,2020,August,1280,1180,100,0.077
5282,Siskiyou County,2020-08-01,2020,August,16940,15410,1540,0.091
5283,Solano County,2020-08-01,2020,August,200400,178500,22000,0.11
5284,Sonoma County,2020-08-01,2020,August,243400,222300,21100,0.087
5285,Stanislaus County,2020-08-01,2020,August,241700,214700,27000,0.11199999999999999
5286,Sutter County,2020-08-01,2020,August,45600,41000,4600,0.10099999999999999
5287,Tehama County,2020-08-01,2020,August,25660,23390,2280,0.08900000000000001
5288,Trinity County,2020-08-01,2020,August,4710,4390,330,0.069
5289,Tulare County,2020-08-01,2020,August,196800,171000,25800,0.131
5290,Tuolumne County,2020-08-01,2020,August,20080,17930,2150,0.107
5291,Ventura County,2020-08-01,2020,August,401500,362100,39300,0.098
5292,Yolo County,2020-08-01,2020,August,103900,95700,8300,0.079
5293,Yuba County,2020-08-01,2020,August,29900,26700,3200,0.10800000000000001
6288,Alameda County,2020-07-01,2020,July,811500,714400,97100,0.12
6289,Alpine County,2020-07-01,2020,July,460,390,70,0.145
6290,Amador County,2020-07-01,2020,July,14410,12740,1670,0.11599999999999999
6291,Butte County,2020-07-01,2020,July,90400,80300,10100,0.111
6292,Calaveras County,2020-07-01,2020,July,21410,19460,1950,0.091
6293,Colusa County,2020-07-01,2020,July,10340,8950,1390,0.135
6294,Contra Costa County,2020-07-01,2020,July,539200,474900,64400,0.11900000000000001
6295,Del Norte County,2020-07-01,2020,July,9200,8180,1020,0.111
6296,El Dorado County,2020-07-01,2020,July,90200,81200,8900,0.099
6297,Fresno County,2020-07-01,2020,July,441000,383700,57300,0.13
6298,Glenn County,2020-07-01,2020,July,12210,10970,1240,0.10099999999999999
6299,Humboldt County,2020-07-01,2020,July,58200,52000,6200,0.106
6300,Imperial County,2020-07-01,2020,July,68600,49800,18900,0.275
6301,Inyo County,2020-07-01,2020,July,8350,7580,780,0.09300000000000001
6302,Kern County,2020-07-01,2020,July,379700,322000,57700,0.152
6303,Kings County,2020-07-01,2020,July,56400,49400,7000,0.124
6304,Lake County,2020-07-01,2020,July,27780,24730,3050,0.11
6305,Lassen County,2020-07-01,2020,July,9300,8560,740,0.08
6307,Los Angeles County,2020-07-01,2020,July,4934900,4035000,899900,0.182
6308,Madera County,2020-07-01,2020,July,60700,53100,7500,0.124
6309,Marin County,2020-07-01,2020,July,129200,117400,11700,0.091
6310,Mariposa County,2020-07-01,2020,July,7360,6520,830,0.113
6311,Mendocino County,2020-07-01,2020,July,36750,32750,4000,0.109
6312,Merced County,2020-07-01,2020,July,110800,95400,15400,0.139
6313,Modoc County,2020-07-01,2020,July,3210,2960,250,0.078
6314,Mono County,2020-07-01,2020,July,8080,6970,1110,0.13699999999999998
6315,Monterey County,2020-07-01,2020,July,219300,196500,22800,0.10400000000000001
6316,Napa County,2020-07-01,2020,July,69600,62200,7400,0.107
6317,Nevada County,2020-07-01,2020,July,46270,41620,4640,0.1
6318,Orange County,2020-07-01,2020,July,1544300,1354100,190300,0.12300000000000001
6319,Placer County,2020-07-01,2020,July,184400,167100,17300,0.094
6320,Plumas County,2020-07-01,2020,July,7870,7090,790,0.1
6321,Riverside County,2020-07-01,2020,July,1106800,961100,145800,0.132
6322,Sacramento County,2020-07-01,2020,July,711800,625800,85900,0.121
6323,San Benito County,2020-07-01,2020,July,31400,27800,3500,0.113
6324,San Bernardino County,2020-07-01,2020,July,964000,841800,122300,0.127
6325,San Diego County,2020-07-01,2020,July,1535400,1345800,189600,0.12300000000000001
6326,San Francisco County,2020-07-01,2020,July,553200,492300,60900,0.11
6327,San Joaquin County,2020-07-01,2020,July,331600,285700,45900,0.138
6328,San Luis Obispo County,2020-07-01,2020,July,131800,118800,13000,0.099
6329,San Mateo County,2020-07-01,2020,July,428600,388300,40200,0.094
6330,Santa Barbara County,2020-07-01,2020,July,219400,198400,21000,0.096
6331,Santa Clara County,2020-07-01,2020,July,1017500,922700,94800,0.09300000000000001
6332,Santa Cruz County,2020-07-01,2020,July,134700,120400,14300,0.106
