,county,date,all_hospital_beds,icu_available_beds
500,Nevada,2020-04-06,0,4
501,San Luis Obispo,2020-04-07,0,30
502,Sacramento,2020-04-07,0,72
503,Santa Clara,2020-04-07,0,105
504,Mono,2020-04-07,0,2
505,Imperial,2020-04-07,0,3
506,Ventura,2020-04-07,0,31
507,Calaveras,2020-04-07,0,8
508,Madera,2020-04-07,0,7
509,Inyo,2020-04-07,0,3
510,Trinity,2020-04-07,0,0
511,Colusa,2020-04-07,0,6
512,Plumas,2020-04-07,0,0
513,Sutter,2020-04-07,0,0
514,Merced,2020-04-07,0,3
515,Napa,2020-04-07,0,7
516,Kern,2020-04-07,0,50
517,Tulare,2020-04-07,0,10
518,Riverside,2020-04-07,0,129
519,Glenn,2020-04-07,0,0
520,San Mateo,2020-04-07,0,35
521,Sonoma,2020-04-07,0,21
522,Marin,2020-04-07,0,12
523,Nevada,2020-04-07,0,3
524,Santa Barbara,2020-04-07,0,48
525,El Dorado,2020-04-07,0,10
526,San Diego,2020-04-07,0,189
527,Orange,2020-04-07,0,136
528,Mariposa,2020-04-07,0,0
529,Tuolumne,2020-04-07,0,0
530,Tehama,2020-04-07,0,2
531,Placer,2020-04-07,0,20
532,Alameda,2020-04-07,0,90
533,Shasta,2020-04-07,0,6
534,Monterey,2020-04-07,0,21
535,Lassen,2020-04-07,0,0
536,Mendocino,2020-04-07,0,9
537,Lake,2020-04-07,0,1
538,Fresno,2020-04-07,0,50
539,San Bernardino,2020-04-07,0,126
540,Del Norte,2020-04-07,0,2
541,Yolo,2020-04-07,0,4
542,San Benito,2020-04-07,0,0
543,Siskiyou,2020-04-07,0,5
544,Santa Cruz,2020-04-07,0,4
545,Butte,2020-04-07,0,6
546,Humboldt,2020-04-07,0,7
547,San Francisco,2020-04-07,0,57
548,Kings,2020-04-07,0,3
549,Contra Costa,2020-04-07,0,82
550,Modoc,2020-04-07,0,0
551,San Joaquin,2020-04-07,0,20
552,Solano,2020-04-07,0,31
553,Amador,2020-04-07,0,3
554,Los Angeles,2020-04-07,0,603
555,Yuba,2020-04-07,0,6
556,Stanislaus,2020-04-07,0,32
557,San Benito,2020-04-08,0,1
558,San Diego,2020-04-08,0,183
559,Santa Cruz,2020-04-08,0,8
560,Calaveras,2020-04-08,0,8
561,Merced,2020-04-08,0,5
562,Los Angeles,2020-04-08,0,582
563,Santa Clara,2020-04-08,0,104
564,Imperial,2020-04-08,0,3
565,Yolo,2020-04-08,0,6
566,Sutter,2020-04-08,0,0
567,Sonoma,2020-04-08,0,18
568,Marin,2020-04-08,0,17
569,San Joaquin,2020-04-08,0,18
570,Colusa,2020-04-08,0,6
571,Mariposa,2020-04-08,0,0
572,Sacramento,2020-04-08,0,73
573,Modoc,2020-04-08,0,0
574,Nevada,2020-04-08,0,6
575,Madera,2020-04-08,0,7
576,Monterey,2020-04-08,0,24
577,Stanislaus,2020-04-08,0,58
578,Contra Costa,2020-04-08,0,78
579,Tehama,2020-04-08,0,4
580,Santa Barbara,2020-04-08,0,51
581,San Mateo,2020-04-08,0,32
582,San Luis Obispo,2020-04-08,0,22
583,Tuolumne,2020-04-08,0,1
584,Kings,2020-04-08,0,1
585,Fresno,2020-04-08,0,64
586,Ventura,2020-04-08,0,31
587,Alameda,2020-04-08,0,111
588,Placer,2020-04-08,0,19
589,Shasta,2020-04-08,0,10
590,Inyo,2020-04-08,0,2
591,Trinity,2020-04-08,0,0
592,Yuba,2020-04-08,0,5
593,Amador,2020-04-08,0,1
594,Napa,2020-04-08,0,5
595,Orange,2020-04-08,0,201
596,Lassen,2020-04-08,0,0
597,San Bernardino,2020-04-08,0,144
598,Butte,2020-04-08,0,4
599,El Dorado,2020-04-08,0,10
600,Riverside,2020-04-08,0,154
601,Lake,2020-04-08,0,1
602,Humboldt,2020-04-08,0,6
603,Kern,2020-04-08,0,32
604,Mono,2020-04-08,0,2
605,Del Norte,2020-04-08,0,4
606,Plumas,2020-04-08,0,0
607,Mendocino,2020-04-08,0,7
608,Solano,2020-04-08,0,27
609,Tulare,2020-04-08,0,22
610,San Francisco,2020-04-08,0,55
611,Siskiyou,2020-04-08,0,5
612,Glenn,2020-04-08,0,0
613,Monterey,2020-04-09,0,22
614,Nevada,2020-04-09,0,4
615,Humboldt,2020-04-09,0,6
616,Solano,2020-04-09,0,33
617,Los Angeles,2020-04-09,0,569
618,Trinity,2020-04-09,0,0
619,Mariposa,2020-04-09,0,0
620,Colusa,2020-04-09,0,5
621,Kern,2020-04-09,0,25
622,Yolo,2020-04-09,0,11
623,Contra Costa,2020-04-09,0,73
624,Tuolumne,2020-04-09,0,5
625,Sonoma,2020-04-09,0,24
626,Sutter,2020-04-09,0,0
627,San Luis Obispo,2020-04-09,0,21
628,Napa,2020-04-09,0,10
629,Plumas,2020-04-09,0,0
630,Butte,2020-04-09,0,5
631,Mono,2020-04-09,0,2
632,Shasta,2020-04-09,0,5
633,Mendocino,2020-04-09,0,8
634,Fresno,2020-04-09,0,59
