county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Sacramento,3/11/2021,132,95342,116,94912
San Benito,3/11/2021,7,5826,5,5816
San Bernardino,3/11/2021,83,283854,172,283312
San Diego,3/11/2021,140,265690,430,264524
San Francisco,3/11/2021,23,34779,34,34722
San Joaquin,3/11/2021,118,66736,39,66522
San Luis Obispo,3/11/2021,30,19800,38,19748
San Mateo,3/11/2021,27,39723,19,39590
Santa Barbara,3/11/2021,17,32510,52,32408
Santa Clara,3/11/2021,119,112617,143,112246
Santa Cruz,3/11/2021,10,14903,22,14812
Shasta,3/11/2021,12,11025,14,11139
Sierra,3/11/2021,0,49,0,48
Siskiyou,3/11/2021,1,1475,8,1466
Solano,3/11/2021,28,30263,27,30138
Sonoma,3/11/2021,37,28792,39,28677
Stanislaus,3/11/2021,70,51325,70,51038
Sutter,3/11/2021,12,8954,15,8933
Tehama,3/11/2021,9,4653,9,4632
Trinity,3/11/2021,0,308,0,304
Tulare,3/11/2021,37,47843,50,47709
Tuolumne,3/11/2021,1,3937,3,3934
Ventura,3/11/2021,71,78579,88,78697
Yolo,3/11/2021,19,13137,20,13041
Yuba,3/11/2021,9,5583,8,5553
Alameda,3/10/2021,78,82003,83,81701
Alpine,3/10/2021,0,81,0,78
Amador,3/10/2021,0,3506,2,3496
Butte,3/10/2021,11,11136,4,11096
Calaveras,3/10/2021,1,1937,0,1913
California,3/10/2021,2323,3526613,3184,3516862
Colusa,3/10/2021,0,1882,2,1882
Contra Costa,3/10/2021,87,63693,58,63372
Del Norte,3/10/2021,6,1035,3,1020
El Dorado,3/10/2021,7,9225,5,9203
Fresno,3/10/2021,103,97367,122,96866
Glenn,3/10/2021,2,2262,2,2253
Humboldt,3/10/2021,11,3320,8,3296
Imperial,3/10/2021,5,27113,6,27051
Inyo,3/10/2021,2,1342,4,1328
Kern,3/10/2021,76,93224,41,92965
Kings,3/10/2021,30,22268,23,22166
Lake,3/10/2021,8,3234,5,3207
Lassen,3/10/2021,0,5126,0,5120
Los Angeles,3/10/2021,493,1171510,1112,1169079
Madera,3/10/2021,13,15779,4,15705
Marin,3/10/2021,16,13390,13,13348
Mariposa,3/10/2021,0,376,0,376
Mendocino,3/10/2021,3,3609,7,3602
Merced,3/10/2021,43,29116,51,28927
Modoc,3/10/2021,0,340,0,338
Mono,3/10/2021,1,1206,1,1204
Monterey,3/10/2021,17,41962,26,41920
Napa,3/10/2021,5,9189,10,9165
Nevada,3/10/2021,8,4114,12,4074
Orange,3/10/2021,117,247494,86,247075
Placer,3/10/2021,30,20264,22,20144
Plumas,3/10/2021,2,642,0,639
Riverside,3/10/2021,126,281154,146,280708
Sacramento,3/10/2021,159,95210,76,94796
San Benito,3/10/2021,4,5819,11,5811
San Bernardino,3/10/2021,99,283771,169,283140
San Diego,3/10/2021,161,265550,349,264094
San Francisco,3/10/2021,21,34756,34,34688
San Joaquin,3/10/2021,84,66618,100,66483
San Luis Obispo,3/10/2021,11,19770,38,19710
San Mateo,3/10/2021,44,39696,36,39571
Santa Barbara,3/10/2021,27,32493,42,32356
Santa Clara,3/10/2021,135,112498,140,112103
Santa Cruz,3/10/2021,17,14893,26,14790
Shasta,3/10/2021,1,11013,12,11125
Sierra,3/10/2021,0,49,0,48
Siskiyou,3/10/2021,4,1474,11,1458
Solano,3/10/2021,24,30235,21,30111
Sonoma,3/10/2021,35,28755,37,28638
Stanislaus,3/10/2021,63,51255,84,50968
Sutter,3/10/2021,8,8942,4,8918
Tehama,3/10/2021,5,4644,3,4623
Trinity,3/10/2021,0,308,0,304
Tulare,3/10/2021,36,47806,22,47659
Tuolumne,3/10/2021,1,3936,2,3931
Ventura,3/10/2021,71,78508,83,78609
Yolo,3/10/2021,9,13118,6,13021
Yuba,3/10/2021,3,5574,6,5545
Alameda,3/9/2021,117,81925,75,81618
Alpine,3/9/2021,0,81,0,78
Amador,3/9/2021,2,3506,4,3494
Butte,3/9/2021,15,11125,10,11092
Calaveras,3/9/2021,2,1936,4,1913
California,3/9/2021,2374,3524290,6412,3513678
Colusa,3/9/2021,1,1882,3,1880
Contra Costa,3/9/2021,73,63606,74,63314
Del Norte,3/9/2021,4,1029,5,1017
El Dorado,3/9/2021,8,9218,10,9198
Fresno,3/9/2021,83,97264,79,96744
Glenn,3/9/2021,2,2260,2,2251
Humboldt,3/9/2021,9,3309,10,3288
Imperial,3/9/2021,3,27108,12,27045
Inyo,3/9/2021,1,1340,4,1324
Kern,3/9/2021,64,93148,67,92924
Kings,3/9/2021,22,22238,13,22143
Lake,3/9/2021,12,3226,7,3202
Lassen,3/9/2021,0,5126,1,5120
Los Angeles,3/9/2021,479,1171017,4558,1167967
Madera,3/9/2021,13,15766,10,15701
Marin,3/9/2021,15,13374,7,13335
Mariposa,3/9/2021,0,376,0,376
Mendocino,3/9/2021,5,3606,5,3595
Merced,3/9/2021,33,29073,35,28876
Modoc,3/9/2021,0,340,0,338
Mono,3/9/2021,0,1205,3,1203
Monterey,3/9/2021,15,41945,31,41894
Napa,3/9/2021,7,9184,9,9155
Nevada,3/9/2021,2,4106,3,4062
Orange,3/9/2021,150,247377,89,246989
Placer,3/9/2021,22,20234,20,20122
Plumas,3/9/2021,0,640,4,639
Riverside,3/9/2021,143,281028,99,280562
Sacramento,3/9/2021,128,95051,66,94720
San Benito,3/9/2021,6,5815,3,5800
San Bernardino,3/9/2021,90,283672,77,282971
San Diego,3/9/2021,189,265389,473,263745
San Francisco,3/9/2021,21,34735,20,34654
San Joaquin,3/9/2021,102,66534,76,66383
San Luis Obispo,3/9/2021,29,19759,16,19672
San Mateo,3/9/2021,50,39652,43,39535
Santa Barbara,3/9/2021,29,32466,21,32314
Santa Clara,3/9/2021,144,112363,81,111963
Santa Cruz,3/9/2021,17,14876,35,14764
Shasta,3/9/2021,7,11012,25,11113
Sierra,3/9/2021,0,49,0,48
Siskiyou,3/9/2021,0,1470,7,1447
Solano,3/9/2021,20,30211,22,30090
Sonoma,3/9/2021,36,28720,30,28601
Stanislaus,3/9/2021,46,51192,59,50884
Sutter,3/9/2021,3,8934,9,8914
Tehama,3/9/2021,5,4639,5,4620
Trinity,3/9/2021,3,308,2,304
Tulare,3/9/2021,33,47770,50,47637
Tuolumne,3/9/2021,2,3935,8,3929
Ventura,3/9/2021,79,78437,0,78526
Yolo,3/9/2021,22,13109,15,13015
Yuba,3/9/2021,11,5571,9,5539
Alameda,3/8/2021,109,81808,130,81543
Alpine,3/8/2021,0,81,0,78
Amador,3/8/2021,2,3504,1,3490
Butte,3/8/2021,10,11110,7,11082
Calaveras,3/8/2021,1,1934,3,1909
California,3/8/2021,2833,3521916,2614,3507266
Colusa,3/8/2021,1,1881,1,1877
Contra Costa,3/8/2021,79,63533,92,63240
Del Norte,3/8/2021,6,1025,2,1012
El Dorado,3/8/2021,4,9210,4,9188
Fresno,3/8/2021,133,97181,116,96665
Glenn,3/8/2021,1,2258,5,2249
Humboldt,3/8/2021,9,3300,4,3278
Imperial,3/8/2021,9,27105,14,27033
Inyo,3/8/2021,9,1339,0,1320
Kern,3/8/2021,87,93084,111,92857
Kings,3/8/2021,30,22216,27,22130
Lake,3/8/2021,5,3214,3,3195
Lassen,3/8/2021,2,5126,0,5119
Los Angeles,3/8/2021,572,1170538,660,1163409
Madera,3/8/2021,13,15753,16,15691
Marin,3/8/2021,17,13359,15,13328
Mariposa,3/8/2021,0,376,0,376
Mendocino,3/8/2021,8,3601,9,3590
Merced,3/8/2021,64,29040,12,28841
Modoc,3/8/2021,0,340,0,338
Mono,3/8/2021,4,1205,1,1200
Monterey,3/8/2021,17,41930,5,41863
Napa,3/8/2021,11,9177,9,9146
Nevada,3/8/2021,11,4104,7,4059
Orange,3/8/2021,152,247227,129,246900
Placer,3/8/2021,32,20212,32,20102
Plumas,3/8/2021,1,640,0,635
Riverside,3/8/2021,155,280885,84,280463
Sacramento,3/8/2021,131,94923,141,94654
San Benito,3/8/2021,3,5809,2,5797
San Bernardino,3/8/2021,147,283582,34,282894
San Diego,3/8/2021,197,265200,307,263272
San Francisco,3/8/2021,33,34714,40,34634
San Joaquin,3/8/2021,109,66432,55,66307
San Luis Obispo,3/8/2021,34,19730,42,19656
San Mateo,3/8/2021,40,39602,56,39492
Santa Barbara,3/8/2021,37,32437,75,32293
Santa Clara,3/8/2021,151,112219,137,111882
Santa Cruz,3/8/2021,22,14859,14,14729
Shasta,3/8/2021,22,11005,5,11088
Sierra,3/8/2021,1,49,0,48
Siskiyou,3/8/2021,4,1470,5,1440
Solano,3/8/2021,34,30191,41,30068
Sonoma,3/8/2021,40,28684,38,28571
Stanislaus,3/8/2021,90,51146,42,50825
Sutter,3/8/2021,8,8931,5,8905
Tehama,3/8/2021,9,4634,1,4615
Trinity,3/8/2021,0,305,0,302
Tulare,3/8/2021,57,47737,18,47587
Tuolumne,3/8/2021,3,3933,-1,3921
Ventura,3/8/2021,94,78358,39,78526
Yolo,3/8/2021,11,13087,12,13000
Yuba,3/8/2021,2,5560,14,5530
Alameda,3/7/2021,24,81699,103,81413
Alpine,3/7/2021,0,81,0,78
Amador,3/7/2021,4,3502,2,3489
Butte,3/7/2021,2,11100,10,11075
Calaveras,3/7/2021,1,1933,2,1906
California,3/7/2021,1478,3519083,3258,3504652
Colusa,3/7/2021,2,1880,2,1876
Contra Costa,3/7/2021,52,63454,108,63148
Del Norte,3/7/2021,1,1019,10,1010
El Dorado,3/7/2021,3,9206,18,9184
Fresno,3/7/2021,53,97048,183,96549
Glenn,3/7/2021,0,2257,3,2244
Humboldt,3/7/2021,4,3291,14,3274
Imperial,3/7/2021,4,27096,10,27019
Inyo,3/7/2021,1,1330,8,1320
Kern,3/7/2021,34,92997,62,92746
Kings,3/7/2021,11,22186,9,22103
Lake,3/7/2021,1,3209,3,3192
Lassen,3/7/2021,0,5124,0,5119
Los Angeles,3/7/2021,357,1169966,1004,1162749
Madera,3/7/2021,2,15740,29,15675
Marin,3/7/2021,5,13342,24,13313
Mariposa,3/7/2021,0,376,0,376
Mendocino,3/7/2021,2,3593,2,3581
Merced,3/7/2021,31,28976,58,28829
Modoc,3/7/2021,1,340,0,338
Mono,3/7/2021,1,1201,1,1199
Monterey,3/7/2021,7,41913,20,41858
Napa,3/7/2021,2,9166,8,9137
