county,date,total_doses
Alpine,3/8/2021,27
Amador,3/8/2021,128
Butte,3/8/2021,1105
Calaveras,3/8/2021,84
Colusa,3/8/2021,77
Contra Costa,3/8/2021,7056
Del Norte,3/8/2021,23
El Dorado,3/8/2021,1029
Fresno,3/8/2021,3912
Glenn,3/8/2021,19
Humboldt,3/8/2021,161
Imperial,3/8/2021,272
Inyo,3/8/2021,109
Kern,3/8/2021,2330
Kings,3/8/2021,262
Lake,3/8/2021,198
Lassen,3/8/2021,85
Los Angeles,3/8/2021,37363
Madera,3/8/2021,484
Marin,3/8/2021,1299
Mariposa,3/8/2021,34
Mendocino,3/8/2021,108
Merced,3/8/2021,973
Modoc,3/8/2021,5
Mono,3/8/2021,9
Monterey,3/8/2021,1216
Napa,3/8/2021,595
Nevada,3/8/2021,659
Orange,3/8/2021,11031
Placer,3/8/2021,2398
Plumas,3/8/2021,31
Riverside,3/8/2021,6060
Sacramento,3/8/2021,7283
San Benito,3/8/2021,246
San Bernardino,3/8/2021,5884
San Diego,3/8/2021,21985
San Francisco,3/8/2021,6479
San Joaquin,3/8/2021,2505
San Luis Obispo,3/8/2021,2314
San Mateo,3/8/2021,3733
Santa Barbara,3/8/2021,960
Santa Clara,3/8/2021,11611
Santa Cruz,3/8/2021,843
Shasta,3/8/2021,449
Sierra,3/8/2021,3
Siskiyou,3/8/2021,317
Solano,3/8/2021,1249
Sonoma,3/8/2021,3160
Stanislaus,3/8/2021,1671
Sutter,3/8/2021,137
Tehama,3/8/2021,45
Trinity,3/8/2021,3
Tulare,3/8/2021,1106
Tuolumne,3/8/2021,166
Ventura,3/8/2021,4844
Yolo,3/8/2021,825
Yuba,3/8/2021,106
Alameda,3/7/2021,9084
Amador,3/7/2021,62
Butte,3/7/2021,57
Calaveras,3/7/2021,62
Colusa,3/7/2021,7
Contra Costa,3/7/2021,3443
Del Norte,3/7/2021,3
El Dorado,3/7/2021,390
Fresno,3/7/2021,1061
Glenn,3/7/2021,1
Humboldt,3/7/2021,343
Imperial,3/7/2021,76
Inyo,3/7/2021,6
Kern,3/7/2021,1914
Kings,3/7/2021,211
Lake,3/7/2021,6
Lassen,3/7/2021,55
Los Angeles,3/7/2021,22741
Madera,3/7/2021,127
Marin,3/7/2021,1332
Mariposa,3/7/2021,1
Mendocino,3/7/2021,482
Merced,3/7/2021,197
Modoc,3/7/2021,6
Mono,3/7/2021,1
Monterey,3/7/2021,451
Napa,3/7/2021,426
Nevada,3/7/2021,187
Orange,3/7/2021,13588
Placer,3/7/2021,1203
Plumas,3/7/2021,10
Riverside,3/7/2021,3478
Sacramento,3/7/2021,7208
San Benito,3/7/2021,620
San Bernardino,3/7/2021,1386
San Diego,3/7/2021,17133
San Francisco,3/7/2021,4902
San Joaquin,3/7/2021,1117
San Luis Obispo,3/7/2021,194
San Mateo,3/7/2021,3351
Santa Barbara,3/7/2021,494
Santa Clara,3/7/2021,6124
Santa Cruz,3/7/2021,1321
Shasta,3/7/2021,76
Siskiyou,3/7/2021,10
Solano,3/7/2021,2640
Sonoma,3/7/2021,1574
Stanislaus,3/7/2021,804
Sutter,3/7/2021,56
Tehama,3/7/2021,5
Trinity,3/7/2021,3
Tulare,3/7/2021,1002
Tuolumne,3/7/2021,29
Ventura,3/7/2021,1483
Yolo,3/7/2021,445
Yuba,3/7/2021,45
Alameda,3/6/2021,11491
Amador,3/6/2021,72
Butte,3/6/2021,141
Calaveras,3/6/2021,81
Colusa,3/6/2021,235
Contra Costa,3/6/2021,6350
