county,date,labor_force,employment,unemployment,unemployment_rate
Los Angeles ,5/1/2020,4665800,3787500,878300,0.188
Madera ,5/1/2020,61800,52700,9200,0.148
Marin ,5/1/2020,124700,111000,13700,0.11
Mariposa ,5/1/2020,7100,5750,1350,0.191
Mendocino ,5/1/2020,35940,31050,4900,0.136
Merced ,5/1/2020,114800,96800,18000,0.157
Modoc ,5/1/2020,3080,2770,310,0.101
Mono ,5/1/2020,6890,5070,1830,0.265
Monterey ,5/1/2020,216400,184300,32100,0.148
Napa ,5/1/2020,68300,57900,10400,0.152
Nevada ,5/1/2020,44450,38640,5810,0.131
Orange ,5/1/2020,1517500,1291700,225800,0.149
Placer ,5/1/2020,181300,158800,22500,0.124
Plumas ,5/1/2020,7480,6470,1020,0.136
Riverside ,5/1/2020,1090100,919000,171100,0.157
Sacramento ,5/1/2020,694900,595200,99700,0.143
San Benito ,5/1/2020,31500,26800,4700,0.149
San Bernardino ,5/1/2020,937200,805300,131900,0.141
San Diego ,5/1/2020,1507200,1272700,234500,0.156
San Francisco ,5/1/2020,548900,478800,70100,0.128
San Joaquin ,5/1/2020,334800,281900,52900,0.158
San Luis Obispo ,5/1/2020,128100,111300,16800,0.131
San Mateo ,5/1/2020,425100,377300,47800,0.113
Santa Barbara ,5/1/2020,215600,188900,26700,0.124
Santa Clara ,5/1/2020,1006200,892600,113600,0.113
Santa Cruz ,5/1/2020,131300,112500,18800,0.143
Shasta ,5/1/2020,71500,62300,9100,0.128
Sierra ,5/1/2020,1230,1090,140,0.114
Siskiyou ,5/1/2020,16550,14460,2090,0.126
Solano ,5/1/2020,198900,170000,28900,0.145
Sonoma ,5/1/2020,240100,207800,32300,0.134
Stanislaus ,5/1/2020,238000,200900,37000,0.156
Sutter ,5/1/2020,45600,38900,6700,0.147
Tehama ,5/1/2020,24860,21790,3070,0.124
Trinity ,5/1/2020,4380,3920,460,0.105
Tulare ,5/1/2020,203900,170200,33600,0.165
Tuolumne ,5/1/2020,19570,16110,3470,0.177
Ventura ,5/1/2020,403900,348900,54900,0.136
Yolo ,5/1/2020,101400,90800,10700,0.105
Yuba ,5/1/2020,29900,25600,4400,0.146
Alameda ,4/1/2020,799000,682000,117000,0.146
Alpine ,4/1/2020,460,360,110,0.229
Amador ,4/1/2020,14210,12050,2160,0.152
Butte ,4/1/2020,92100,77400,14700,0.159
Calaveras ,4/1/2020,20510,17710,2800,0.137
