,county,date,confirmed_patients,suspected_patients,total_covid_patients
563,Santa Clara,2020-04-08,156,34,190
564,Imperial,2020-04-08,16,7,23
565,Yolo,2020-04-08,2,7,9
566,Sutter,2020-04-08,0,0,0
567,Sonoma,2020-04-08,6,22,28
568,Marin,2020-04-08,5,3,8
569,San Joaquin,2020-04-08,32,19,51
570,Colusa,2020-04-08,0,0,0
571,Mariposa,2020-04-08,0,0,0
572,Sacramento,2020-04-08,76,81,157
573,Modoc,2020-04-08,0,0,0
574,Nevada,2020-04-08,2,7,9
575,Madera,2020-04-08,0,6,6
576,Monterey,2020-04-08,18,24,42
577,Stanislaus,2020-04-08,30,35,65
578,Contra Costa,2020-04-08,35,50,85
579,Tehama,2020-04-08,0,2,2
580,Santa Barbara,2020-04-08,42,18,60
581,San Mateo,2020-04-08,66,20,86
582,San Luis Obispo,2020-04-08,2,13,15
583,Tuolumne,2020-04-08,0,0,0
584,Kings,2020-04-08,2,8,10
585,Fresno,2020-04-08,22,63,85
586,Ventura,2020-04-08,18,73,91
587,Alameda,2020-04-08,84,69,153
588,Placer,2020-04-08,18,15,33
589,Shasta,2020-04-08,4,5,9
590,Inyo,2020-04-08,9,128,137
591,Trinity,2020-04-08,0,0,0
592,Yuba,2020-04-08,2,24,26
593,Amador,2020-04-08,0,0,0
594,Napa,2020-04-08,0,7,7
595,Orange,2020-04-08,153,181,334
596,Lassen,2020-04-08,0,1,1
597,San Bernardino,2020-04-08,132,301,433
598,Butte,2020-04-08,1,15,16
599,El Dorado,2020-04-08,16,3,19
600,Riverside,2020-04-08,149,145,294
601,Lake,2020-04-08,0,0,0
602,Humboldt,2020-04-08,2,3,5
603,Kern,2020-04-08,31,57,88
604,Mono,2020-04-08,19,8,27
605,Del Norte,2020-04-08,0,2,2
606,Plumas,2020-04-08,0,1,1
607,Mendocino,2020-04-08,0,0,0
608,Solano,2020-04-08,15,19,34
609,Tulare,2020-04-08,7,16,23
610,San Francisco,2020-04-08,90,116,206
611,Siskiyou,2020-04-08,0,3,3
612,Glenn,2020-04-08,0,0,0
613,Monterey,2020-04-09,17,26,43
614,Nevada,2020-04-09,2,4,6
615,Humboldt,2020-04-09,2,6,8
616,Solano,2020-04-09,14,9,23
617,Los Angeles,2020-04-09,1368,758,2126
618,Trinity,2020-04-09,0,0,0
619,Mariposa,2020-04-09,0,0,0
620,Colusa,2020-04-09,0,0,0
621,Kern,2020-04-09,27,35,62
622,Yolo,2020-04-09,2,4,6
623,Contra Costa,2020-04-09,37,64,101
624,Tuolumne,2020-04-09,0,0,0
625,Sonoma,2020-04-09,5,21,26
626,Sutter,2020-04-09,0,0,0
627,San Luis Obispo,2020-04-09,2,10,12
628,Napa,2020-04-09,0,7,7
629,Plumas,2020-04-09,0,1,1
630,Butte,2020-04-09,1,14,15
631,Mono,2020-04-09,18,15,33
632,Shasta,2020-04-09,5,7,12
633,Mendocino,2020-04-09,0,0,0
634,Fresno,2020-04-09,25,41,66
635,San Mateo,2020-04-09,58,14,72
636,Orange,2020-04-09,146,117,263
637,San Diego,2020-04-09,227,124,351
638,Santa Cruz,2020-04-09,4,14,18
639,Riverside,2020-04-09,201,159,360
640,San Joaquin,2020-04-09,29,18,47
641,Madera,2020-04-09,0,3,3
642,San Benito,2020-04-09,2,1,3
643,Modoc,2020-04-09,0,0,0
644,Glenn,2020-04-09,0,0,0
645,Stanislaus,2020-04-09,28,30,58
646,Imperial,2020-04-09,14,10,24
647,Merced,2020-04-09,1,7,8
648,Ventura,2020-04-09,18,69,87
649,Santa Clara,2020-04-09,158,65,223
650,San Bernardino,2020-04-09,136,269,405
651,Yuba,2020-04-09,3,18,21
652,Del Norte,2020-04-09,0,2,2
653,Marin,2020-04-09,5,7,12
654,Lake,2020-04-09,0,0,0
655,Tulare,2020-04-09,10,11,21
656,Kings,2020-04-09,6,6,12
657,Sacramento,2020-04-09,74,60,134
658,Lassen,2020-04-09,0,2,2
659,El Dorado,2020-04-09,17,3,20
660,Placer,2020-04-09,18,12,30
661,Amador,2020-04-09,0,0,0
662,Tehama,2020-04-09,0,1,1
663,Santa Barbara,2020-04-09,40,18,58
664,San Francisco,2020-04-09,88,64,152
665,Inyo,2020-04-09,9,135,144
666,Alameda,2020-04-09,80,76,156
667,Calaveras,2020-04-09,0,0,0
668,Siskiyou,2020-04-09,0,2,2
669,Solano,2020-04-10,18,9,27
670,Sutter,2020-04-10,0,0,0
671,Modoc,2020-04-10,0,0,0
672,Plumas,2020-04-10,0,0,0
673,Colusa,2020-04-10,0,0,0
674,Imperial,2020-04-10,14,12,26
675,San Joaquin,2020-04-10,26,17,43
676,Los Angeles,2020-04-10,1299,754,2053
677,Del Norte,2020-04-10,0,3,3
