,date,county,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
160,2021-03-14,San Diego,3370418,51,265888,0,3462,3523,3568378,102,282396,198,265468,8,3452,11372,3240410
161,2021-03-14,San Francisco,892280,5,34830,0,456,755,1709001,9,44202,26,34810,0,455,2703,1125467
162,2021-03-14,San Joaquin,782545,8,66853,0,1163,209,789323,10,77460,83,66563,-1,1140,2081,614748
163,2021-03-14,San Luis Obispo,278862,2,19830,0,248,63,436312,2,21232,17,19806,0,247,516,238084
164,2021-03-14,San Mateo,778001,6,39802,0,344,743,1240699,8,50171,55,39744,1,342,2793,760189
165,2021-03-14,Santa Barbara,456373,13,32549,0,433,423,519538,16,37414,28,32514,0,431,785,343121
166,2021-03-14,Santa Clara,1967585,43,112841,0,1797,2168,3165935,55,128337,117,112648,6,1796,6968,2137761
167,2021-03-14,Santa Cruz,273999,0,14923,0,199,42,330586,0,15862,12,14887,1,200,677,206968
168,2021-03-14,Shasta,177925,0,11034,0,100,20,158924,0,8275,-2,11019,-16,92,350,97932
169,2021-03-14,Sierra,3115,0,49,0,0,1,2293,0,52,0,49,0,0,2,1171
170,2021-03-14,Siskiyou,43956,1,1477,0,5,10,27781,1,1602,3,1473,0,5,101,25556
171,2021-03-14,Solano,444255,2,30298,0,171,114,552784,2,31644,32,30230,0,171,869,369237
172,2021-03-14,Sonoma,496668,2,28846,0,291,156,586729,2,31587,36,28798,-1,284,1095,410972
173,2021-03-14,Stanislaus,562303,11,51406,0,683,230,527425,13,57918,49,51306,-5,690,1535,439263
174,2021-03-14,Sutter,105747,4,8966,0,102,64,84001,4,9861,10,8958,0,102,199,66117
175,2021-03-14,Tehama,65885,0,4660,0,34,9,50804,0,4535,3,4650,1,34,117,39470
176,2021-03-14,Trinity,13354,0,308,0,3,0,7220,0,328,2,308,0,3,25,10951
177,2021-03-14,Tulare,484423,5,47891,0,803,155,478905,8,55498,27,47845,2,800,969,350082
178,2021-03-14,Tuolumne,52351,0,3938,0,57,32,82548,0,4569,0,3937,0,57,62,39639
180,2021-03-14,Ventura,852747,24,78671,0,916,1324,1176421,32,95092,-82,78611,4,910,2879,1055020
181,2021-03-14,Yolo,223612,2,13161,0,190,696,287954,1,12964,41,13128,0,189,3329,231348
182,2021-03-14,Yuba,79290,1,5593,0,42,46,58872,2,6341,6,5583,0,42,186,50696
183,2021-03-13,Alameda,1685886,61,82248,0,1177,2175,2107108,68,95644,112,82010,4,1168,4870,1481259
184,2021-03-13,Alpine,1117,0,82,0,0,0,1840,0,30,0,82,0,0,3,732
185,2021-03-13,Amador,38531,4,3510,0,44,69,96762,5,4014,1,3504,0,44,59,31969
186,2021-03-13,Butte,217769,2,11149,0,184,189,188234,2,11736,5,11131,1,185,500,152174
187,2021-03-13,Calaveras,44289,0,1942,0,49,29,35174,0,2185,23,1939,0,49,55,24252
189,2021-03-13,Colusa,22593,0,1882,0,12,11,15200,0,1735,-1,1882,0,12,37,13595
190,2021-03-13,Contra Costa,1160099,56,63922,0,736,1385,1273715,67,70590,106,63689,3,731,3471,982875
191,2021-03-13,Del Norte,27558,3,1048,0,6,28,67865,3,1141,8,1041,0,6,115,23993
192,2021-03-13,El Dorado,193098,2,9245,0,105,175,147275,3,9071,2,9221,0,103,551,126845
193,2021-03-13,Fresno,1032227,52,97611,0,1498,1097,1030952,58,114223,139,97324,6,1495,3089,812766
194,2021-03-13,Glenn,29348,2,2267,0,17,16,21390,2,2324,2,2260,0,15,46,16288
195,2021-03-13,Humboldt,134098,5,3344,0,33,125,114705,6,3519,10,3325,0,32,496,85907
196,2021-03-13,Imperial,191649,5,27136,0,689,167,254557,5,30990,28,27099,0,677,211,162221
197,2021-03-13,Inyo,18453,0,1346,0,35,9,16371,0,1135,5,1344,0,35,50,13898
198,2021-03-13,Kern,927251,18,93326,0,1144,492,879580,24,106148,55,93197,8,1140,1754,670939
199,2021-03-13,Kings,156444,17,22312,0,233,192,310306,18,25834,32,22265,0,232,272,146305
200,2021-03-13,Lake,64871,5,3245,0,43,47,58685,6,3774,8,3234,0,43,120,48157
201,2021-03-13,Lassen,30065,0,5126,0,1,3,112895,0,5872,0,5125,0,1,43,43567
202,2021-03-13,Los Angeles,10257557,212,1172611,1,22527,9454,16763301,220,1499897,645,1171505,42,22451,143256,23047802
203,2021-03-13,Madera,160089,2,15817,0,214,423,208284,3,17796,19,15780,0,214,278,116892
204,2021-03-13,Marin,260800,4,13416,0,218,326,430606,5,14824,16,13391,0,218,888,272655
205,2021-03-13,Mariposa,17795,2,379,0,5,32,18833,2,421,0,376,0,5,19,7876
206,2021-03-13,Mendocino,88439,1,3620,0,44,109,88156,1,3987,6,3611,1,44,142,56983
207,2021-03-13,Merced,287420,11,29182,0,407,156,304402,14,30820,42,29106,3,406,894,215520
208,2021-03-13,Modoc,9475,0,341,0,3,0,5344,0,158,0,340,0,3,7,3590
209,2021-03-13,Mono,13961,0,1206,0,3,9,14456,0,1306,1,1207,0,3,8,12723
210,2021-03-13,Monterey,448732,8,42021,0,334,288,512379,9,47191,25,41989,3,332,983,346140
211,2021-03-13,Napa,139652,3,9206,0,75,123,227460,3,9960,10,9190,0,75,334,143525
212,2021-03-13,Nevada,98710,4,4131,0,67,114,86274,5,4033,10,4111,0,66,191,58622
213,2021-03-13,Orange,3228519,64,247805,0,4479,3056,3205043,84,301914,126,247514,22,4423,8676,2739238
215,2021-03-13,Placer,400434,21,20335,0,240,352,326318,24,21582,28,20238,0,239,938,265271
216,2021-03-13,Plumas,18997,0,643,0,4,11,17061,0,613,1,642,0,4,52,12574
217,2021-03-13,Riverside,2468145,89,281493,0,3893,2497,2527536,135,336226,154,281191,-6,3848,5665,1979927
218,2021-03-13,Sacramento,1567975,47,95514,0,1466,1477,1519906,54,107323,131,95192,1,1461,3709,1171048
219,2021-03-13,San Benito,64022,1,5831,0,61,40,69960,2,6601,6,5823,0,61,124,47300
220,2021-03-13,San Bernardino,2217398,33,283953,0,4032,2332,2546521,52,336296,169,283727,55,3972,4947,2110797
221,2021-03-13,San Diego,3370418,64,265837,0,3462,5999,3564855,144,282294,384,265270,10,3444,5868,3229038
222,2021-03-13,San Francisco,892280,20,34825,0,456,1912,1708246,27,44193,26,34784,3,455,2929,1122764
223,2021-03-13,San Joaquin,782545,21,66845,0,1163,580,789114,23,77450,-2,66480,-3,1141,2172,612667
224,2021-03-13,San Luis Obispo,278862,6,19828,0,248,217,436249,8,21230,20,19789,0,247,573,237568
225,2021-03-13,San Mateo,778001,25,39796,0,344,1744,1239956,34,50163,51,39689,0,341,2971,757396
226,2021-03-13,Santa Barbara,456373,11,32536,0,433,649,519115,27,37398,29,32486,2,431,964,342336
227,2021-03-13,Santa Clara,1967585,71,112798,0,1797,4272,3163767,91,128282,135,112531,24,1790,7629,2130793
228,2021-03-13,Santa Cruz,273999,10,14923,0,199,360,330544,12,15862,29,14875,4,199,706,206291
229,2021-03-13,Shasta,177925,1,11034,0,100,85,158904,1,8275,-122,11021,-45,108,392,97582
230,2021-03-13,Sierra,3115,0,49,0,0,1,2292,0,52,0,49,0,0,3,1169
231,2021-03-13,Siskiyou,43956,1,1476,0,5,14,27771,1,1601,2,1470,0,5,111,25455
232,2021-03-13,Solano,444255,8,30296,0,171,336,552670,9,31642,18,30198,0,171,899,368368
233,2021-03-13,Sonoma,496668,16,28844,0,291,524,586573,17,31585,48,28762,0,285,1188,409877
234,2021-03-13,Stanislaus,562303,12,51395,0,683,385,527195,21,57905,111,51257,-6,695,1638,437728
235,2021-03-13,Sutter,105747,5,8962,0,102,92,83937,8,9857,8,8948,1,102,215,65918
236,2021-03-13,Tehama,65885,2,4660,0,34,37,50795,2,4535,9,4647,0,33,124,39353
237,2021-03-13,Trinity,13354,0,308,0,3,12,7220,0,328,0,306,0,3,32,10926
238,2021-03-13,Tulare,484423,11,47886,0,803,262,478750,14,55490,46,47818,0,798,1041,349113
239,2021-03-13,Tuolumne,52351,0,3938,0,57,29,82516,0,4569,1,3937,0,57,70,39577
241,2021-03-13,Ventura,852747,32,78647,0,916,2160,1175097,45,95060,-5,78693,7,906,2944,1052141
242,2021-03-13,Yolo,223612,5,13159,0,190,1373,287258,7,12963,26,13087,0,189,4503,228019
243,2021-03-13,Yuba,79290,5,5592,0,42,80,58826,6,6339,14,5577,0,42,194,50510
244,2021-03-12,Alameda,1685886,89,82187,0,1177,6349,2104933,112,95576,89,81898,0,1164,4527,1476389
245,2021-03-12,Alpine,1117,0,82,0,0,0,1840,0,30,4,82,0,0,3,729
246,2021-03-12,Amador,38531,0,3506,0,44,67,96693,1,4009,5,3503,2,44,60,31910
247,2021-03-12,Butte,217769,5,11147,0,184,430,188045,6,11734,16,11126,-1,184,554,151674
248,2021-03-12,Calaveras,44289,2,1942,0,49,101,35145,2,2185,1,1916,0,49,67,24197
250,2021-03-12,Colusa,22593,0,1882,0,12,32,15189,0,1735,0,1883,0,12,43,13558
251,2021-03-12,Contra Costa,1160099,87,63866,0,736,3647,1272330,96,70523,114,63583,0,728,3171,979404
252,2021-03-12,Del Norte,27558,5,1045,0,6,57,67837,5,1138,6,1033,0,6,119,23878
253,2021-03-12,El Dorado,193098,13,9243,0,105,340,147100,11,9068,8,9219,2,103,527,126294
254,2021-03-12,Fresno,1032227,85,97559,0,1498,2300,1029855,107,114165,159,97185,8,1489,3158,809677
255,2021-03-12,Glenn,29348,3,2265,0,17,37,21374,2,2322,3,2258,0,15,55,16242
256,2021-03-12,Humboldt,134098,8,3339,0,33,344,114580,11,3513,13,3315,0,32,536,85411
257,2021-03-12,Imperial,191649,1,27131,0,689,195,254390,5,30985,26,27071,2,677,391,162010
258,2021-03-12,Inyo,18453,2,1346,0,35,28,16362,2,1135,4,1339,0,35,51,13848
259,2021-03-12,Kern,927251,33,93308,0,1144,1335,879088,48,106124,90,93142,11,1132,2080,669185
260,2021-03-12,Kings,156444,11,22295,0,233,212,310114,12,25816,50,22233,2,232,315,146033
261,2021-03-12,Lake,64871,2,3240,0,43,130,58638,4,3768,12,3226,1,43,136,48037
262,2021-03-12,Lassen,30065,0,5126,0,1,19,112892,1,5872,1,5125,0,1,47,43524
263,2021-03-12,Los Angeles,10257557,405,1172399,1,22526,39154,16753847,676,1499677,749,1170860,93,22409,141926,22904546
264,2021-03-12,Madera,160089,14,15815,0,214,318,207861,19,17793,36,15761,0,214,330,116614
265,2021-03-12,Marin,260800,7,13412,0,218,948,430280,9,14819,19,13375,1,218,901,271767
266,2021-03-12,Mariposa,17795,1,377,0,5,52,18801,1,419,0,376,0,5,26,7857
267,2021-03-12,Mendocino,88439,7,3619,0,44,134,88047,8,3986,1,3605,1,43,165,56841
268,2021-03-12,Merced,287420,31,29171,0,407,812,304246,42,30806,63,29064,2,403,1032,214626
269,2021-03-12,Modoc,9475,0,341,0,3,0,5344,0,158,0,340,0,3,10,3583
270,2021-03-12,Mono,13961,0,1206,0,3,18,14447,0,1306,0,1206,0,3,10,12715
271,2021-03-12,Monterey,448732,25,42013,0,334,798,512091,25,47182,28,41964,0,329,1081,345157
272,2021-03-12,Napa,139652,3,9203,0,75,572,227337,2,9957,7,9180,0,75,290,143191
273,2021-03-12,Nevada,98710,9,4127,0,67,362,86160,10,4028,16,4101,0,66,216,58431
274,2021-03-12,Orange,3228519,103,247741,0,4479,7288,3201987,146,301830,171,247388,28,4401,10052,2730562
