,county,date,total_doses
342,Santa Cruz,2021-03-10,2304
343,Shasta,2021-03-10,531
344,Sierra,2021-03-10,4
345,Siskiyou,2021-03-10,145
346,Solano,2021-03-10,1823
347,Sonoma,2021-03-10,3934
348,Stanislaus,2021-03-10,5115
349,Sutter,2021-03-10,174
350,Tarrant,2021-03-10,3
351,Tehama,2021-03-10,301
352,Trinity,2021-03-10,107
353,Tulare,2021-03-10,2078
354,Tuolumne,2021-03-10,76
355,Unknown,2021-03-10,192
356,Ventura,2021-03-10,1971
357,Windham,2021-03-10,1
358,Yolo,2021-03-10,952
359,Yuba,2021-03-10,145
360,Alameda,2021-03-09,10509
361,Alpine,2021-03-09,1
362,Amador,2021-03-09,92
363,Butte,2021-03-09,1651
364,Calaveras,2021-03-09,184
365,Clallam,2021-03-09,1
366,Colusa,2021-03-09,196
367,Contra Costa,2021-03-09,7923
368,Del Norte,2021-03-09,100
369,El Dorado,2021-03-09,735
370,Fresno,2021-03-09,5460
371,Glenn,2021-03-09,55
372,Humboldt,2021-03-09,399
373,Imperial,2021-03-09,402
374,Inyo,2021-03-09,176
375,Kern,2021-03-09,3026
376,Kings,2021-03-09,316
377,Lake,2021-03-09,169
378,Lassen,2021-03-09,110
379,Los Angeles,2021-03-09,46127
380,Madera,2021-03-09,366
381,Marin,2021-03-09,1395
382,Mariposa,2021-03-09,22
383,Mendocino,2021-03-09,321
384,Merced,2021-03-09,1166
385,Modoc,2021-03-09,113
386,Mono,2021-03-09,5
387,Monterey,2021-03-09,1478
388,Napa,2021-03-09,496
389,Nevada,2021-03-09,434
390,Orange,2021-03-09,17542
391,Outside California,2021-03-09,3812
392,Placer,2021-03-09,1798
393,Plumas,2021-03-09,123
394,Riverside,2021-03-09,8874
395,Sacramento,2021-03-09,6748
396,San Benito,2021-03-09,223
397,San Bernardino,2021-03-09,7917
398,San Diego,2021-03-09,24711
399,San Francisco,2021-03-09,6374
400,San Joaquin,2021-03-09,3672
401,San Luis Obispo,2021-03-09,2671
402,San Mateo,2021-03-09,4222
403,Santa Barbara,2021-03-09,1249
404,Santa Clara,2021-03-09,10359
405,Santa Cruz,2021-03-09,1339
406,Shasta,2021-03-09,448
407,Sierra,2021-03-09,53
408,Siskiyou,2021-03-09,70
409,Snohomish,2021-03-09,1
410,Solano,2021-03-09,1656
411,Sonoma,2021-03-09,3838
412,Stanislaus,2021-03-09,2365
413,Sutter,2021-03-09,214
414,Tehama,2021-03-09,266
415,Trinity,2021-03-09,92
416,Tulare,2021-03-09,1694
417,Tuolumne,2021-03-09,857
418,Unknown,2021-03-09,177
419,Ventura,2021-03-09,2338
420,Yolo,2021-03-09,749
421,Yuba,2021-03-09,127
422,Alameda,2021-03-08,10405
423,Alpine,2021-03-08,27
424,Amador,2021-03-08,128
425,Butte,2021-03-08,1105
426,Calaveras,2021-03-08,84
427,Colusa,2021-03-08,77
428,Contra Costa,2021-03-08,7056
429,Del Norte,2021-03-08,23
430,El Dorado,2021-03-08,1029
431,Fresno,2021-03-08,3912
432,Glenn,2021-03-08,19
433,Humboldt,2021-03-08,161
434,Imperial,2021-03-08,272
435,Inyo,2021-03-08,109
436,Kern,2021-03-08,2330
437,Kings,2021-03-08,262
438,Lake,2021-03-08,198
439,Lassen,2021-03-08,85
440,Los Angeles,2021-03-08,37363
441,Madera,2021-03-08,484
442,Marin,2021-03-08,1299
443,Mariposa,2021-03-08,34
444,Mendocino,2021-03-08,108
445,Merced,2021-03-08,973
446,Modoc,2021-03-08,5
447,Mono,2021-03-08,9
448,Monterey,2021-03-08,1216
449,Napa,2021-03-08,595
450,Nevada,2021-03-08,659
451,Orange,2021-03-08,11031
452,Outside California,2021-03-08,2749
453,Placer,2021-03-08,2398
454,Plumas,2021-03-08,31
455,Riverside,2021-03-08,6060
456,Sacramento,2021-03-08,7283
457,San Benito,2021-03-08,246
458,San Bernardino,2021-03-08,5884
459,San Diego,2021-03-08,21985
460,San Francisco,2021-03-08,6479
461,San Joaquin,2021-03-08,2505
462,San Luis Obispo,2021-03-08,2314
463,San Mateo,2021-03-08,3733
464,Santa Barbara,2021-03-08,960
465,Santa Clara,2021-03-08,11611
466,Santa Cruz,2021-03-08,843
467,Shasta,2021-03-08,449
468,Sierra,2021-03-08,3
469,Siskiyou,2021-03-08,317
470,Solano,2021-03-08,1249
471,Sonoma,2021-03-08,3160
472,Stanislaus,2021-03-08,1671
473,Sutter,2021-03-08,137
474,Tehama,2021-03-08,45
475,Trinity,2021-03-08,3
476,Tulare,2021-03-08,1106
477,Tuolumne,2021-03-08,166
478,Unknown,2021-03-08,142
479,Ventura,2021-03-08,4844
480,Yolo,2021-03-08,825
481,Yuba,2021-03-08,106
482,Alameda,2021-03-07,9084
483,Amador,2021-03-07,62
484,Butte,2021-03-07,57
485,Calaveras,2021-03-07,62
486,Colusa,2021-03-07,7
487,Contra Costa,2021-03-07,3443
488,Del Norte,2021-03-07,3
489,El Dorado,2021-03-07,390
490,Fresno,2021-03-07,1061
491,Glenn,2021-03-07,1
492,Humboldt,2021-03-07,343
493,Imperial,2021-03-07,76
