county,date,labor_force,employment,unemployment,unemployment_rate
Colusa,2020-04-01,10890,8100,2800,0.257
Contra Costa,2020-04-01,533300,452800,80500,0.151
Del Norte,2020-04-01,9250,7920,1340,0.145
El Dorado,2020-04-01,90800,76700,14100,0.155
Fresno,2020-04-01,445100,368900,76200,0.171
Glenn,2020-04-01,12630,10810,1820,0.14400000000000002
Humboldt,2020-04-01,58900,50000,9000,0.152
Imperial,2020-04-01,72900,52000,20900,0.28600000000000003
Inyo,2020-04-01,7940,6760,1180,0.149
Kern,2020-04-01,374500,304800,69700,0.18600000000000003
Kings,2020-04-01,57200,47500,9700,0.16899999999999998
Lake,2020-04-01,27960,23480,4480,0.16
Lassen,2020-04-01,9330,8260,1080,0.115
Los Angeles,2020-04-01,4759300,3892300,866900,0.182
Madera,2020-04-01,59900,49500,10400,0.174
Marin,2020-04-01,123500,108600,14900,0.121
Mariposa,2020-04-01,7150,5690,1460,0.204
Mendocino,2020-04-01,36600,30900,5700,0.156
Merced,2020-04-01,116900,95300,21600,0.185
Modoc,2020-04-01,3170,2750,420,0.132
Mono,2020-04-01,6670,4790,1890,0.282
Monterey,2020-04-01,215600,174400,41200,0.191
Napa,2020-04-01,66300,54600,11800,0.17800000000000002
Nevada,2020-04-01,44240,37410,6830,0.154
Orange,2020-04-01,1525400,1305800,219600,0.14400000000000002
Placer,2020-04-01,182100,158000,24100,0.132
Plumas,2020-04-01,7380,6000,1380,0.187
Riverside,2020-04-01,1088600,914300,174300,0.16
Sacramento,2020-04-01,695800,592000,103800,0.149
San Benito,2020-04-01,32600,26500,6100,0.188
San Bernardino,2020-04-01,935000,802200,132800,0.142
San Diego,2020-04-01,1512700,1272300,240400,0.159
San Francisco,2020-04-01,550500,478700,71700,0.13
San Joaquin,2020-04-01,329500,270700,58800,0.179
San Luis Obispo,2020-04-01,129500,110300,19200,0.14800000000000002
San Mateo,2020-04-01,427500,377200,50200,0.11800000000000001
Santa Barbara,2020-04-01,214300,184300,29900,0.14
Santa Clara,2020-04-01,1007200,884600,122500,0.122
Santa Cruz,2020-04-01,132200,108900,23200,0.17600000000000002
Shasta,2020-04-01,72500,61100,11400,0.157
Sierra,2020-04-01,1210,1040,170,0.14300000000000002
Siskiyou,2020-04-01,16710,14110,2610,0.156
Solano,2020-04-01,200400,168900,31500,0.157
Sonoma,2020-04-01,241000,203800,37100,0.154
Stanislaus,2020-04-01,240000,198600,41400,0.172
Sutter,2020-04-01,46200,38000,8200,0.17800000000000002
Tehama,2020-04-01,25420,21680,3740,0.147
Trinity,2020-04-01,4370,3800,580,0.132
Tulare,2020-04-01,201500,163900,37600,0.18600000000000003
Tuolumne,2020-04-01,19680,15760,3920,0.19899999999999998
Ventura,2020-04-01,404700,346100,58700,0.145
Yolo,2020-04-01,101800,89800,12000,0.11800000000000001
Yuba,2020-04-01,30100,25200,4900,0.16399999999999998
Alameda,2020-03-01,836800,807500,29300,0.035
Alpine,2020-03-01,640,600,40,0.055
Amador,2020-03-01,14830,14100,730,0.049
Butte,2020-03-01,97600,91700,5900,0.061
Calaveras,2020-03-01,21520,20460,1060,0.049
Colusa,2020-03-01,11260,8850,2410,0.214
Contra Costa,2020-03-01,556500,536200,20300,0.036000000000000004
Del Norte,2020-03-01,9660,9000,660,0.069
El Dorado,2020-03-01,92300,88400,3900,0.042
Fresno,2020-03-01,456100,411200,44900,0.098
Glenn,2020-03-01,13190,12130,1060,0.08
Humboldt,2020-03-01,62000,59200,2700,0.044000000000000004
Imperial,2020-03-01,72700,58200,14600,0.201
Inyo,2020-03-01,8580,8200,380,0.044000000000000004
Kern,2020-03-01,386200,343700,42500,0.11
Kings,2020-03-01,58200,51600,6600,0.113
Lake,2020-03-01,28730,26840,1890,0.066
Lassen,2020-03-01,9490,8860,630,0.066
Los Angeles,2020-03-01,4941300,4664900,276400,0.055999999999999994
Madera,2020-03-01,62900,56900,6000,0.096
Marin,2020-03-01,136500,132700,3800,0.027999999999999997
Mariposa,2020-03-01,7520,7020,510,0.067
Mendocino,2020-03-01,38580,36530,2050,0.053
Merced,2020-03-01,118800,105000,13800,0.11599999999999999
Modoc,2020-03-01,3220,2890,330,0.102
Mono,2020-03-01,8740,8350,390,0.044000000000000004
Monterey,2020-03-01,214900,190900,24000,0.11199999999999999
Napa,2020-03-01,71700,69100,2700,0.037000000000000005
Nevada,2020-03-01,48240,46220,2020,0.042
Orange,2020-03-01,1598500,1545800,52700,0.033
Placer,2020-03-01,188900,182000,6900,0.036000000000000004
Plumas,2020-03-01,7660,6750,910,0.11900000000000001
Riverside,2020-03-01,1115800,1062900,52900,0.047
Sacramento,2020-03-01,712300,681600,30700,0.043
San Benito,2020-03-01,32500,30200,2300,0.07
San Bernardino,2020-03-01,975700,932500,43100,0.044000000000000004
San Diego,2020-03-01,1573600,1514400,59200,0.038
San Francisco,2020-03-01,579200,563000,16100,0.027999999999999997
San Joaquin,2020-03-01,330500,305700,24700,0.075
San Luis Obispo,2020-03-01,138900,134000,4900,0.035
San Mateo,2020-03-01,455100,443700,11500,0.025
Santa Barbara,2020-03-01,222700,211700,11000,0.049
Santa Clara,2020-03-01,1046300,1014900,31400,0.03
Santa Cruz,2020-03-01,139100,128800,10300,0.07400000000000001
Shasta,2020-03-01,73300,68800,4500,0.062
Sierra,2020-03-01,1300,1200,100,0.078
Siskiyou,2020-03-01,17090,15520,1570,0.092
Solano,2020-03-01,207000,197500,9500,0.046
Sonoma,2020-03-01,254500,246000,8500,0.033
Stanislaus,2020-03-01,244300,225800,18500,0.076
Sutter,2020-03-01,46700,41900,4800,0.10300000000000001
Tehama,2020-03-01,26100,24310,1790,0.069
Trinity,2020-03-01,4500,4140,370,0.08199999999999999
Tulare,2020-03-01,206200,179000,27200,0.132
Tuolumne,2020-03-01,20490,19280,1210,0.059000000000000004
Ventura,2020-03-01,421400,403500,17900,0.042
Yolo,2020-03-01,108600,102700,5800,0.054000000000000006
Yuba,2020-03-01,30600,28200,2400,0.079
Alameda,2020-02-01,842100,817400,24800,0.028999999999999998
Alpine,2020-02-01,630,600,30,0.051
Amador,2020-02-01,14790,14140,650,0.044000000000000004
Butte,2020-02-01,97000,91800,5200,0.054000000000000006
Calaveras,2020-02-01,21610,20710,890,0.040999999999999995
Colusa,2020-02-01,10830,8640,2190,0.20199999999999999
Contra Costa,2020-02-01,560000,542700,17300,0.031
Del Norte,2020-02-01,9540,8950,590,0.062
El Dorado,2020-02-01,92500,89200,3400,0.036000000000000004
Fresno,2020-02-01,453600,415500,38100,0.084
Glenn,2020-02-01,13130,12200,930,0.071
Humboldt,2020-02-01,61800,59400,2400,0.038
Imperial,2020-02-01,72000,58900,13000,0.18100000000000002
Inyo,2020-02-01,8610,8270,340,0.039
Kern,2020-02-01,389700,354200,35600,0.091
Kings,2020-02-01,58100,52400,5700,0.098
Lake,2020-02-01,28920,27250,1670,0.057999999999999996
Lassen,2020-02-01,9410,8850,560,0.059000000000000004
Los Angeles,2020-02-01,5218500,4972500,246000,0.047
Madera,2020-02-01,64200,59200,5100,0.079
Marin,2020-02-01,137900,134700,3300,0.024
Mariposa,2020-02-01,7500,7050,450,0.059000000000000004
Mendocino,2020-02-01,38220,36440,1780,0.046
Merced,2020-02-01,116800,104900,11900,0.102
Modoc,2020-02-01,3100,2810,300,0.096
Mono,2020-02-01,9010,8680,330,0.037000000000000005
Monterey,2020-02-01,212700,191100,21500,0.10099999999999999
Napa,2020-02-01,72500,70200,2300,0.032
Nevada,2020-02-01,48780,47030,1750,0.036000000000000004
Orange,2020-02-01,1617000,1572100,44900,0.027999999999999997
Placer,2020-02-01,189500,183500,6000,0.031
Plumas,2020-02-01,7480,6680,810,0.10800000000000001
Riverside,2020-02-01,1121100,1075900,45200,0.04
Sacramento,2020-02-01,713800,687200,26600,0.037000000000000005
San Benito,2020-02-01,32500,30600,1900,0.059000000000000004
San Bernardino,2020-02-01,980400,943800,36600,0.037000000000000005
San Diego,2020-02-01,1585600,1535000,50600,0.032
San Francisco,2020-02-01,583900,570800,13100,0.022000000000000002
San Joaquin,2020-02-01,330900,309500,21400,0.065
San Luis Obispo,2020-02-01,140000,135800,4200,0.03
San Mateo,2020-02-01,459400,449800,9600,0.021
Santa Barbara,2020-02-01,222000,212200,9800,0.044000000000000004
Santa Clara,2020-02-01,1055200,1028300,26800,0.025
Santa Cruz,2020-02-01,139700,130700,8900,0.064
Shasta,2020-02-01,72900,68900,4000,0.054000000000000006
Sierra,2020-02-01,1310,1220,90,0.069
Siskiyou,2020-02-01,16970,15540,1430,0.084
Solano,2020-02-01,207500,199400,8100,0.039
Sonoma,2020-02-01,256000,248800,7200,0.027999999999999997
Stanislaus,2020-02-01,242300,226500,15800,0.065
Sutter,2020-02-01,45800,41700,4100,0.09
Tehama,2020-02-01,25970,24380,1590,0.061
Trinity,2020-02-01,4430,4120,320,0.07200000000000001
Tulare,2020-02-01,206000,182700,23300,0.113
Tuolumne,2020-02-01,20600,19540,1050,0.051
Ventura,2020-02-01,423500,407900,15500,0.037000000000000005
Yolo,2020-02-01,108500,103300,5200,0.048
Yuba,2020-02-01,30400,28300,2100,0.07
Alameda,2020-01-01,838000,811700,26200,0.031
Alpine,2020-01-01,650,620,30,0.046
Amador,2020-01-01,14710,13990,710,0.048
Butte,2020-01-01,96300,90800,5400,0.055999999999999994
Calaveras,2020-01-01,21500,20550,950,0.044000000000000004
Colusa,2020-01-01,10610,8490,2120,0.2
Contra Costa,2020-01-01,557500,539200,18400,0.033
Del Norte,2020-01-01,9610,8970,640,0.067
El Dorado,2020-01-01,92200,88700,3500,0.038
Fresno,2020-01-01,451100,413800,37300,0.083
Glenn,2020-01-01,12860,11870,990,0.077
Humboldt,2020-01-01,61100,58600,2500,0.042
Imperial,2020-01-01,72700,58300,14500,0.19899999999999998
Inyo,2020-01-01,8620,8270,350,0.04
Kern,2020-01-01,393100,358500,34500,0.08800000000000001
Kings,2020-01-01,57700,52100,5600,0.096
Lake,2020-01-01,28620,26830,1790,0.063
Lassen,2020-01-01,9400,8840,560,0.06
Los Angeles,2020-01-01,5210600,4957000,253500,0.049
Madera,2020-01-01,63300,58100,5200,0.08199999999999999
Marin,2020-01-01,137800,134400,3400,0.025
Mariposa,2020-01-01,7450,7000,450,0.06
Mendocino,2020-01-01,38160,36300,1860,0.049
Merced,2020-01-01,115800,104300,11500,0.099
Modoc,2020-01-01,3050,2740,310,0.10099999999999999
Mono,2020-01-01,9120,8790,330,0.036000000000000004
Monterey,2020-01-01,209700,188500,21200,0.10099999999999999
Napa,2020-01-01,70500,67900,2600,0.037000000000000005
Nevada,2020-01-01,48770,46940,1820,0.037000000000000005
Orange,2020-01-01,1609100,1561800,47300,0.028999999999999998
Placer,2020-01-01,188700,182400,6300,0.034
Plumas,2020-01-01,7410,6610,800,0.10800000000000001
Riverside,2020-01-01,1119600,1071900,47700,0.043
Sacramento,2020-01-01,711000,682800,28200,0.04
San Benito,2020-01-01,32300,30300,2000,0.062
San Bernardino,2020-01-01,978100,939400,38600,0.039
San Diego,2020-01-01,1577100,1523200,54000,0.034
San Francisco,2020-01-01,580700,567000,13700,0.024
San Joaquin,2020-01-01,329400,307100,22300,0.068
San Luis Obispo,2020-01-01,138400,134000,4500,0.032
San Mateo,2020-01-01,457000,446900,10000,0.022000000000000002
Santa Barbara,2020-01-01,219200,209100,10200,0.046
Santa Clara,2020-01-01,1050100,1022000,28100,0.027000000000000003
Santa Cruz,2020-01-01,138400,129600,8800,0.063
Shasta,2020-01-01,73600,69500,4100,0.055
Sierra,2020-01-01,1310,1220,80,0.064
Siskiyou,2020-01-01,16950,15520,1440,0.085
Solano,2020-01-01,206400,197800,8600,0.042
Sonoma,2020-01-01,254100,246400,7700,0.03
Stanislaus,2020-01-01,240700,224400,16300,0.068
Sutter,2020-01-01,45200,41100,4100,0.091
Tehama,2020-01-01,25910,24240,1670,0.064
Trinity,2020-01-01,4390,4090,310,0.07
Tulare,2020-01-01,204500,181700,22800,0.11199999999999999
Tuolumne,2020-01-01,20440,19370,1070,0.052000000000000005
Ventura,2020-01-01,419800,403100,16700,0.04
Yolo,2020-01-01,107900,102400,5500,0.051
Yuba,2020-01-01,30200,28000,2200,0.073
