,date,county,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
122,3/14/2021,Alameda,County,1685886.0,6.0,82254.0,0.0,1177.0,934.0,2108042.0,11.0,95655.0,106.0,82116.0,0.0,1168.0,4637.0,1485896.0
123,3/14/2021,Alpine,County,1117.0,0.0,82.0,0.0,0.0,1.0,1841.0,0.0,30.0,0.0,82.0,0.0,0.0,2.0,734.0
124,3/14/2021,Amador,County,38531.0,0.0,3510.0,0.0,44.0,21.0,96783.0,0.0,4014.0,0.0,3504.0,0.0,44.0,62.0,32031.0
125,3/14/2021,Butte,County,217769.0,3.0,11152.0,0.0,184.0,80.0,188314.0,3.0,11739.0,9.0,11140.0,0.0,185.0,451.0,152625.0
126,3/14/2021,Calaveras,County,44289.0,3.0,1945.0,0.0,49.0,28.0,35202.0,3.0,2188.0,0.0,1939.0,0.0,49.0,62.0,24314.0
127,3/14/2021,California,State,40129160.0,409.0,3532320.0,0.0,55577.0,18977.0,51455081.0,509.0,4208495.0,2460.0,3528795.0,95.0,55330.0,213283.0,50432075.0
128,3/14/2021,Colusa,County,22593.0,0.0,1882.0,0.0,12.0,10.0,15210.0,0.0,1735.0,1.0,1883.0,0.0,12.0,33.0,13628.0
129,3/14/2021,Contra Costa,County,1160099.0,16.0,63938.0,0.0,736.0,671.0,1274386.0,20.0,70610.0,119.0,63808.0,0.0,731.0,3109.0,985984.0
130,3/14/2021,Del Norte,County,27558.0,0.0,1048.0,0.0,6.0,10.0,67875.0,0.0,1141.0,7.0,1048.0,0.0,6.0,106.0,24099.0
131,3/14/2021,El Dorado,County,193098.0,2.0,9247.0,0.0,105.0,66.0,147341.0,0.0,9071.0,10.0,9231.0,0.0,103.0,486.0,127331.0
132,3/14/2021,Fresno,County,1032227.0,19.0,97630.0,0.0,1498.0,444.0,1031396.0,22.0,114245.0,137.0,97461.0,1.0,1496.0,2922.0,815688.0
133,3/14/2021,Glenn,County,29348.0,0.0,2267.0,0.0,17.0,5.0,21395.0,0.0,2324.0,0.0,2260.0,0.0,15.0,44.0,16332.0
134,3/14/2021,Humboldt,County,134098.0,2.0,3346.0,0.0,33.0,57.0,114762.0,2.0,3521.0,10.0,3335.0,0.0,32.0,401.0,86308.0
135,3/14/2021,Imperial,County,191649.0,0.0,27136.0,0.0,689.0,54.0,254611.0,0.0,30990.0,23.0,27122.0,8.0,685.0,258.0,162479.0
136,3/14/2021,Inyo,County,18453.0,0.0,1346.0,0.0,35.0,4.0,16375.0,0.0,1135.0,2.0,1346.0,0.0,35.0,55.0,13953.0
137,3/14/2021,Kern,County,927251.0,6.0,93332.0,0.0,1144.0,144.0,879724.0,7.0,106155.0,55.0,93252.0,1.0,1141.0,1647.0,672586.0
138,3/14/2021,Kings,County,156444.0,4.0,22316.0,0.0,233.0,58.0,310364.0,4.0,25838.0,27.0,22292.0,0.0,232.0,245.0,146550.0
139,3/14/2021,Lake,County,64871.0,1.0,3246.0,0.0,43.0,23.0,58708.0,1.0,3775.0,3.0,3237.0,0.0,43.0,117.0,48274.0
140,3/14/2021,Lassen,County,30065.0,0.0,5126.0,0.0,1.0,1.0,112896.0,0.0,5872.0,0.0,5125.0,0.0,1.0,40.0,43607.0
141,3/14/2021,Los Angeles,County,10257557.0,53.0,1172664.0,0.0,22527.0,776.0,16764077.0,20.0,1499917.0,595.0,1172100.0,25.0,22476.0,130143.0,23177945.0
142,3/14/2021,Madera,County,160089.0,3.0,15820.0,0.0,214.0,44.0,208328.0,3.0,17799.0,24.0,15804.0,0.0,214.0,299.0,117191.0
143,3/14/2021,Marin,County,260800.0,2.0,13418.0,0.0,218.0,122.0,430728.0,3.0,14827.0,14.0,13405.0,0.0,218.0,922.0,273577.0
144,3/14/2021,Mariposa,County,17795.0,0.0,379.0,0.0,5.0,4.0,18837.0,0.0,421.0,0.0,376.0,0.0,5.0,17.0,7893.0
145,3/14/2021,Mendocino,County,88439.0,3.0,3623.0,0.0,44.0,39.0,88195.0,3.0,3990.0,2.0,3613.0,0.0,44.0,125.0,57108.0
146,3/14/2021,Merced,County,287420.0,7.0,29189.0,0.0,407.0,50.0,304452.0,1.0,30821.0,43.0,29149.0,1.0,407.0,740.0,216260.0
147,3/14/2021,Modoc,County,9475.0,0.0,341.0,0.0,3.0,1.0,5345.0,0.0,158.0,0.0,340.0,0.0,3.0,5.0,3595.0
148,3/14/2021,Mono,County,13961.0,0.0,1206.0,0.0,3.0,3.0,14459.0,0.0,1306.0,-1.0,1206.0,0.0,3.0,6.0,12729.0
149,3/14/2021,Monterey,County,448732.0,1.0,42022.0,0.0,334.0,118.0,512497.0,2.0,47193.0,18.0,42007.0,1.0,333.0,851.0,346991.0
150,3/14/2021,Napa,County,139652.0,2.0,9208.0,0.0,75.0,84.0,227544.0,1.0,9961.0,4.0,9194.0,0.0,75.0,335.0,143860.0
151,3/14/2021,Nevada,County,98710.0,0.0,4131.0,0.0,67.0,33.0,86307.0,0.0,4033.0,11.0,4122.0,0.0,66.0,180.0,58802.0
152,3/14/2021,Orange,County,3228519.0,25.0,247830.0,0.0,4479.0,1681.0,3206724.0,36.0,301950.0,142.0,247656.0,37.0,4460.0,7977.0,2747215.0
153,3/14/2021,Out of state,County,,,,,,,,,,,,,,2210.0,313704.0
154,3/14/2021,Placer,County,400434.0,4.0,20339.0,0.0,240.0,160.0,326478.0,5.0,21587.0,50.0,20288.0,-1.0,238.0,918.0,266189.0
155,3/14/2021,Plumas,County,18997.0,0.0,643.0,0.0,4.0,6.0,17067.0,0.0,613.0,0.0,642.0,0.0,4.0,44.0,12618.0
156,3/14/2021,Riverside,County,2468145.0,42.0,281535.0,0.0,3893.0,1282.0,2528818.0,59.0,336285.0,141.0,281332.0,-3.0,3845.0,5466.0,1985393.0
157,3/14/2021,Sacramento,County,1567975.0,6.0,95520.0,0.0,1466.0,523.0,1520429.0,9.0,107332.0,151.0,95343.0,1.0,1462.0,3514.0,1174562.0
