county,date,total_doses
Los Angeles,2021-03-05,72948
Madera,2021-03-05,1093
Marin,2021-03-05,2478
Mariposa,2021-03-05,32
Mendocino,2021-03-05,165
Merced,2021-03-05,1925
Modoc,2021-03-05,3
Mono,2021-03-05,30
Monterey,2021-03-05,2677
Napa,2021-03-05,1583
Nevada,2021-03-05,680
Orange,2021-03-05,16723
Placer,2021-03-05,2482
Plumas,2021-03-05,370
Riverside,2021-03-05,13804
Sacramento,2021-03-05,7722
San Benito,2021-03-05,404
San Bernardino,2021-03-05,11219
San Diego,2021-03-05,27800
San Francisco,2021-03-05,7569
San Joaquin,2021-03-05,3989
San Luis Obispo,2021-03-05,2067
San Mateo,2021-03-05,7934
Santa Barbara,2021-03-05,3684
Santa Clara,2021-03-05,12995
Santa Cruz,2021-03-05,2223
Shasta,2021-03-05,899
Sierra,2021-03-05,12
Siskiyou,2021-03-05,193
Solano,2021-03-05,3421
Sonoma,2021-03-05,4946
Stanislaus,2021-03-05,3785
Sutter,2021-03-05,255
Tehama,2021-03-05,340
Trinity,2021-03-05,282
Tulare,2021-03-05,2890
Tuolumne,2021-03-05,74
Ventura,2021-03-05,8848
Yolo,2021-03-05,1278
Yuba,2021-03-05,260
Alameda,2021-03-04,14930
Alpine,2021-03-04,11
Amador,2021-03-04,466
Butte,2021-03-04,2609
Calaveras,2021-03-04,529
Colusa,2021-03-04,109
Contra Costa,2021-03-04,10433
Del Norte,2021-03-04,120
El Dorado,2021-03-04,2100
Fresno,2021-03-04,7384
Glenn,2021-03-04,382
Humboldt,2021-03-04,827
Imperial,2021-03-04,683
Inyo,2021-03-04,120
Kern,2021-03-04,4620
Kings,2021-03-04,546
Lake,2021-03-04,505
Lassen,2021-03-04,139
Los Angeles,2021-03-04,79018
Madera,2021-03-04,1080
Marin,2021-03-04,2681
Mariposa,2021-03-04,16
Mendocino,2021-03-04,1071
Merced,2021-03-04,2668
Modoc,2021-03-04,155
Mono,2021-03-04,7
Monterey,2021-03-04,4040
Napa,2021-03-04,1274
Nevada,2021-03-04,975
Orange,2021-03-04,18638
Placer,2021-03-04,3031
Plumas,2021-03-04,211
Riverside,2021-03-04,14437
Sacramento,2021-03-04,9334
San Benito,2021-03-04,286
San Bernardino,2021-03-04,10634
San Diego,2021-03-04,27329
San Francisco,2021-03-04,7521
San Joaquin,2021-03-04,4594
San Luis Obispo,2021-03-04,1940
San Mateo,2021-03-04,7170
Santa Barbara,2021-03-04,3092
Santa Clara,2021-03-04,12911
Santa Cruz,2021-03-04,2508
Shasta,2021-03-04,992
Sierra,2021-03-04,100
Siskiyou,2021-03-04,659
Solano,2021-03-04,2554
Sonoma,2021-03-04,4754
Stanislaus,2021-03-04,5193
Sutter,2021-03-04,1154
Tehama,2021-03-04,511
Trinity,2021-03-04,15
Tulare,2021-03-04,2608
Tuolumne,2021-03-04,1132
Ventura,2021-03-04,7718
Yolo,2021-03-04,1588
Yuba,2021-03-04,444
Alameda,2021-03-03,13687
Alpine,2021-03-03,30
Amador,2021-03-03,211
Butte,2021-03-03,2318
Calaveras,2021-03-03,477
Colusa,2021-03-03,211
Contra Costa,2021-03-03,9786
Del Norte,2021-03-03,150
El Dorado,2021-03-03,1301
Fresno,2021-03-03,5209
Glenn,2021-03-03,169
Humboldt,2021-03-03,1429
Imperial,2021-03-03,847
Inyo,2021-03-03,82
Kern,2021-03-03,5395
Kings,2021-03-03,526
Lake,2021-03-03,324
Lassen,2021-03-03,156
Los Angeles,2021-03-03,75890
Madera,2021-03-03,1144
Marin,2021-03-03,3872
Mariposa,2021-03-03,7
Mendocino,2021-03-03,1542
Merced,2021-03-03,2010
Modoc,2021-03-03,10
Mono,2021-03-03,82
Monterey,2021-03-03,2686
Napa,2021-03-03,1210
Nevada,2021-03-03,879
Orange,2021-03-03,18170
Placer,2021-03-03,2793
Plumas,2021-03-03,138
Riverside,2021-03-03,15625
Sacramento,2021-03-03,9027
San Benito,2021-03-03,354
San Bernardino,2021-03-03,11652
San Diego,2021-03-03,32270
San Francisco,2021-03-03,9975
San Joaquin,2021-03-03,5165
San Luis Obispo,2021-03-03,2059
San Mateo,2021-03-03,7449
Santa Barbara,2021-03-03,4406
Santa Clara,2021-03-03,16052
Santa Cruz,2021-03-03,2155
Shasta,2021-03-03,531
Sierra,2021-03-03,2
Siskiyou,2021-03-03,328
Solano,2021-03-03,1653
Sonoma,2021-03-03,4065
Stanislaus,2021-03-03,3408
Sutter,2021-03-03,1329
Tehama,2021-03-03,82
Trinity,2021-03-03,5
Tulare,2021-03-03,3186
Tuolumne,2021-03-03,77
Ventura,2021-03-03,8043
Yolo,2021-03-03,1681
Yuba,2021-03-03,594
Alameda,2021-03-02,12723
Alpine,2021-03-02,1
